incident_id,asset_id,relation_description
242,313,Badge reader logs used for access verification
414,218,CCTV network switch checked during response
168,260,Alarm panel alert connected to the response
210,412,Network device checked during response
416,329,Badge reader logs used for access verification
116,122,Patrol radio used during response coordination
302,300,Network device checked during response
216,105,Network device checked during response
275,484,CCTV footage reviewed for this incident
250,122,Patrol radio used during response coordination
209,391,CCTV network switch checked during response
80,123,Badge reader logs used for access verification
343,78,Incident report printed from this device
202,305,CCTV footage reviewed for this incident
204,319,CCTV network switch checked during response
12,8,Badge reader logs used for access verification
354,183,Incident report printed from this device
446,184,Patrol radio used during response coordination
335,238,Server logs reviewed for investigation
363,56,Network security logs reviewed
455,33,Video recording checked during investigation
369,103,CCTV footage reviewed for this incident
215,424,CCTV network switch checked during response
403,169,Video recording checked during investigation
368,245,CCTV footage reviewed for this incident
296,308,Door controller event related to the incident
213,269,Badge reader logs used for access verification
281,30,Door controller event related to the incident
301,185,Server logs reviewed for investigation
168,265,Network device checked during response
326,388,Server logs reviewed for investigation
114,423,Alarm panel alert connected to the response
443,282,Patrol radio used during response coordination
308,59,Incident report printed from this device
190,260,Alarm panel alert connected to the response
326,480,Incident report printed from this device
444,38,CCTV network switch checked during response
64,199,Network device checked during response
243,419,Network security logs reviewed
431,18,Network device checked during response
201,334,Network security logs reviewed
450,155,CCTV footage reviewed for this incident
176,450,CCTV footage reviewed for this incident
68,380,Incident report printed from this device
189,122,Patrol radio used during response coordination
355,336,CCTV footage reviewed for this incident
21,175,Badge reader logs used for access verification
409,159,CCTV footage reviewed for this incident
484,103,CCTV footage reviewed for this incident
128,166,Security workstation used for incident documentation
397,232,CCTV network switch checked during response
430,241,Network device checked during response
72,372,Security workstation used for incident documentation
434,233,Patrol radio used during response coordination
246,389,Video recording checked during investigation
177,379,Alarm panel alert connected to the response
427,323,CCTV network switch checked during response
445,146,CCTV network switch checked during response
440,133,Network security logs reviewed
215,490,CCTV network switch checked during response
413,177,Patrol radio used during response coordination
310,177,Patrol radio used during response coordination
217,130,Network security logs reviewed
35,176,Security workstation used for incident documentation
16,262,Patrol radio used during response coordination
259,110,Door controller event related to the incident
426,273,CCTV footage reviewed for this incident
310,213,Badge reader logs used for access verification
389,431,CCTV network switch checked during response
60,133,Network security logs reviewed
257,63,Video recording checked during investigation
165,453,CCTV footage reviewed for this incident
145,196,Video recording checked during investigation
424,96,Incident report printed from this device
392,122,Patrol radio used during response coordination
425,383,Incident report printed from this device
13,307,Patrol radio used during response coordination
238,74,Video recording checked during investigation
417,245,CCTV footage reviewed for this incident
112,466,Door controller event related to the incident
12,206,CCTV footage reviewed for this incident
380,269,Badge reader logs used for access verification
412,472,CCTV footage reviewed for this incident
97,193,Incident report printed from this device
142,310,Network security logs reviewed
203,332,Incident report printed from this device
380,4,Incident report printed from this device
255,281,Door controller event related to the incident
171,245,CCTV footage reviewed for this incident
274,255,Patrol radio used during response coordination
40,236,CCTV footage reviewed for this incident
480,416,Badge reader logs used for access verification
201,394,Network security logs reviewed
48,156,Alarm panel alert connected to the response
407,113,Server logs reviewed for investigation
118,38,CCTV network switch checked during response
486,459,Video recording checked during investigation
187,268,Security workstation used for incident documentation
186,145,Incident report printed from this device
499,413,Video recording checked during investigation
385,239,Incident report printed from this device
210,318,Network device checked during response
411,447,Door controller event related to the incident
438,303,Alarm panel alert connected to the response
7,484,CCTV footage reviewed for this incident
431,358,Alarm panel alert connected to the response
279,351,Server logs reviewed for investigation
336,82,Door controller event related to the incident
177,115,Network security logs reviewed
3,330,Incident report printed from this device
64,180,Patrol radio used during response coordination
405,282,Patrol radio used during response coordination
312,445,CCTV footage reviewed for this incident
485,365,Security workstation used for incident documentation
133,434,CCTV network switch checked during response
101,79,Security workstation used for incident documentation
482,92,Badge reader logs used for access verification
435,491,Incident report printed from this device
453,379,Alarm panel alert connected to the response
317,430,Video recording checked during investigation
247,166,Security workstation used for incident documentation
417,359,Door controller event related to the incident
13,431,CCTV network switch checked during response
397,18,Network device checked during response
315,100,CCTV footage reviewed for this incident
222,281,Door controller event related to the incident
376,402,CCTV network switch checked during response
153,316,CCTV network switch checked during response
180,4,Incident report printed from this device
102,154,CCTV footage reviewed for this incident
224,11,CCTV footage reviewed for this incident
344,201,Network device checked during response
62,289,Network security logs reviewed
163,212,Door controller event related to the incident
295,254,CCTV network switch checked during response
138,408,Alarm panel alert connected to the response
24,58,Incident report printed from this device
195,316,CCTV network switch checked during response
133,25,Server logs reviewed for investigation
324,98,Incident report printed from this device
106,9,Alarm panel alert connected to the response
495,334,Network security logs reviewed
477,163,Incident report printed from this device
243,364,Door controller event related to the incident
415,415,Server logs reviewed for investigation
80,133,Network security logs reviewed
252,35,Door controller event related to the incident
367,415,Server logs reviewed for investigation
397,421,Patrol radio used during response coordination
431,444,Badge reader logs used for access verification
146,257,Network device checked during response
169,346,Door controller event related to the incident
280,239,Incident report printed from this device
159,403,Incident report printed from this device
425,398,CCTV network switch checked during response
49,181,Security workstation used for incident documentation
343,474,Network device checked during response
172,160,Network security logs reviewed
300,103,CCTV footage reviewed for this incident
95,227,Video recording checked during investigation
319,377,Alarm panel alert connected to the response
151,401,Alarm panel alert connected to the response
388,232,CCTV network switch checked during response
225,38,CCTV network switch checked during response
484,500,Patrol radio used during response coordination
466,234,Security workstation used for incident documentation
154,432,Network security logs reviewed
164,26,Network device checked during response
383,196,Video recording checked during investigation
452,460,Network security logs reviewed
8,160,Network security logs reviewed
64,488,Badge reader logs used for access verification
412,8,Badge reader logs used for access verification
47,203,Door controller event related to the incident
59,338,CCTV footage reviewed for this incident
169,486,Security workstation used for incident documentation
435,317,Door controller event related to the incident
325,152,Security workstation used for incident documentation
411,351,Server logs reviewed for investigation
37,193,Incident report printed from this device
38,395,Video recording checked during investigation
91,336,CCTV footage reviewed for this incident
456,131,Door controller event related to the incident
290,491,Incident report printed from this device
69,260,Alarm panel alert connected to the response
292,420,CCTV footage reviewed for this incident
443,64,Alarm panel alert connected to the response
299,41,Network device checked during response
257,389,Video recording checked during investigation
286,246,Patrol radio used during response coordination
308,216,Badge reader logs used for access verification
314,123,Badge reader logs used for access verification
403,311,Incident report printed from this device
358,484,CCTV footage reviewed for this incident
297,361,Patrol radio used during response coordination
420,370,Security workstation used for incident documentation
335,93,CCTV footage reviewed for this incident
216,217,Alarm panel alert connected to the response
146,124,Network security logs reviewed
372,27,CCTV footage reviewed for this incident
457,75,Incident report printed from this device
252,5,Network security logs reviewed
387,460,Network security logs reviewed
378,127,Badge reader logs used for access verification
484,126,Security workstation used for incident documentation
201,308,Door controller event related to the incident
482,54,Network device checked during response
239,346,Door controller event related to the incident
145,22,Server logs reviewed for investigation
42,247,CCTV footage reviewed for this incident
9,268,Security workstation used for incident documentation
358,6,Video recording checked during investigation
200,357,Badge reader logs used for access verification
409,444,Badge reader logs used for access verification
431,98,Incident report printed from this device
88,83,Network device checked during response
29,276,Incident report printed from this device
385,333,Badge reader logs used for access verification
27,238,Server logs reviewed for investigation
175,243,Patrol radio used during response coordination
352,108,Network security logs reviewed
418,490,CCTV network switch checked during response
124,44,Patrol radio used during response coordination
259,322,Badge reader logs used for access verification
382,473,Video recording checked during investigation
488,432,Network security logs reviewed
321,89,Network device checked during response
363,282,Patrol radio used during response coordination
78,408,Alarm panel alert connected to the response
410,436,Door controller event related to the incident
339,107,Video recording checked during investigation
491,394,Network security logs reviewed
443,274,Server logs reviewed for investigation
146,295,Network device checked during response
185,222,Patrol radio used during response coordination
165,35,Door controller event related to the incident
440,240,Incident report printed from this device
419,231,Network device checked during response
199,439,Incident report printed from this device
399,176,Security workstation used for incident documentation
27,343,Security workstation used for incident documentation
342,148,Door controller event related to the incident
224,153,Security workstation used for incident documentation
126,443,Network device checked during response
91,386,CCTV footage reviewed for this incident
315,9,Alarm panel alert connected to the response
99,111,Patrol radio used during response coordination
331,179,Video recording checked during investigation
257,357,Badge reader logs used for access verification
100,329,Badge reader logs used for access verification
447,54,Network device checked during response
54,63,Video recording checked during investigation
395,164,CCTV footage reviewed for this incident
412,467,Patrol radio used during response coordination
401,196,Video recording checked during investigation
491,34,CCTV footage reviewed for this incident
462,81,Alarm panel alert connected to the response
129,58,Incident report printed from this device
428,80,Alarm panel alert connected to the response
186,269,Badge reader logs used for access verification
78,377,Alarm panel alert connected to the response
219,467,Patrol radio used during response coordination
432,50,Badge reader logs used for access verification
296,247,CCTV footage reviewed for this incident
235,283,Door controller event related to the incident
15,477,Video recording checked during investigation
87,68,Server logs reviewed for investigation
221,278,Patrol radio used during response coordination
74,39,Server logs reviewed for investigation
365,297,Network security logs reviewed
421,449,CCTV footage reviewed for this incident
75,8,Badge reader logs used for access verification
29,477,Video recording checked during investigation
461,19,Server logs reviewed for investigation
198,333,Badge reader logs used for access verification
251,183,Incident report printed from this device
393,119,Security workstation used for incident documentation
6,312,Patrol radio used during response coordination
210,73,Video recording checked during investigation
174,416,Badge reader logs used for access verification
211,265,Network device checked during response
211,105,Network device checked during response
315,483,CCTV network switch checked during response
291,447,Door controller event related to the incident
234,358,Alarm panel alert connected to the response
398,394,Network security logs reviewed
319,134,Badge reader logs used for access verification
256,189,Server logs reviewed for investigation
487,255,Patrol radio used during response coordination
338,139,Security workstation used for incident documentation
114,283,Door controller event related to the incident
214,8,Badge reader logs used for access verification
209,67,CCTV network switch checked during response
474,200,Network security logs reviewed
39,237,Alarm panel alert connected to the response
435,371,Incident report printed from this device
281,463,Network device checked during response
163,340,Patrol radio used during response coordination
188,275,Incident report printed from this device
89,477,Video recording checked during investigation
218,174,Network security logs reviewed
184,430,Video recording checked during investigation
104,480,Incident report printed from this device
383,128,Network security logs reviewed
399,92,Badge reader logs used for access verification
110,5,Network security logs reviewed
67,255,Patrol radio used during response coordination
78,357,Badge reader logs used for access verification
132,42,Security workstation used for incident documentation
51,25,Server logs reviewed for investigation
115,292,Network security logs reviewed
110,473,Video recording checked during investigation
85,289,Network security logs reviewed
4,348,Patrol radio used during response coordination
411,300,Network device checked during response
107,84,Incident report printed from this device
177,180,Patrol radio used during response coordination
347,41,Network device checked during response
41,255,Patrol radio used during response coordination
477,90,Server logs reviewed for investigation
46,297,Network security logs reviewed
76,119,Security workstation used for incident documentation
101,472,CCTV footage reviewed for this incident
354,220,Alarm panel alert connected to the response
51,280,Door controller event related to the incident
111,343,Security workstation used for incident documentation
93,390,Patrol radio used during response coordination
369,98,Incident report printed from this device
447,95,CCTV network switch checked during response
56,417,Security workstation used for incident documentation
356,149,Door controller event related to the incident
292,43,Video recording checked during investigation
473,460,Network security logs reviewed
37,334,Network security logs reviewed
322,178,Network device checked during response
104,132,Video recording checked during investigation
138,289,Network security logs reviewed
218,449,CCTV footage reviewed for this incident
13,363,CCTV network switch checked during response
385,86,Alarm panel alert connected to the response
467,275,Incident report printed from this device
315,178,Network device checked during response
177,99,Server logs reviewed for investigation
370,198,Server logs reviewed for investigation
4,281,Door controller event related to the incident
428,426,Patrol radio used during response coordination
397,183,Incident report printed from this device
481,32,Incident report printed from this device
88,258,Network device checked during response
412,87,CCTV network switch checked during response
262,335,CCTV network switch checked during response
234,407,Patrol radio used during response coordination
74,205,Network security logs reviewed
375,491,Incident report printed from this device
243,286,Door controller event related to the incident
498,284,Patrol radio used during response coordination
21,370,Security workstation used for incident documentation
113,368,Security workstation used for incident documentation
261,412,Network device checked during response
401,453,CCTV footage reviewed for this incident
95,312,Patrol radio used during response coordination
32,487,CCTV footage reviewed for this incident
322,263,Network security logs reviewed
423,294,Network device checked during response
469,119,Security workstation used for incident documentation
423,56,Network security logs reviewed
264,426,Patrol radio used during response coordination
92,349,Network device checked during response
311,470,Badge reader logs used for access verification
225,404,Patrol radio used during response coordination
413,86,Alarm panel alert connected to the response
21,462,CCTV footage reviewed for this incident
227,338,CCTV footage reviewed for this incident
253,485,Door controller event related to the incident
7,51,CCTV footage reviewed for this incident
203,164,CCTV footage reviewed for this incident
365,302,Incident report printed from this device
482,439,Incident report printed from this device
136,17,Door controller event related to the incident
2,445,CCTV footage reviewed for this incident
52,171,Patrol radio used during response coordination
304,247,CCTV footage reviewed for this incident
380,307,Patrol radio used during response coordination
428,386,CCTV footage reviewed for this incident
398,264,CCTV network switch checked during response
488,313,Badge reader logs used for access verification
215,73,Video recording checked during investigation
176,459,Video recording checked during investigation
262,430,Video recording checked during investigation
234,293,Incident report printed from this device
393,43,Video recording checked during investigation
374,136,Network security logs reviewed
343,229,Alarm panel alert connected to the response
384,464,Door controller event related to the incident
406,361,Patrol radio used during response coordination
452,127,Badge reader logs used for access verification
424,279,Security workstation used for incident documentation
68,228,Badge reader logs used for access verification
300,264,CCTV network switch checked during response
476,21,CCTV footage reviewed for this incident
336,315,Server logs reviewed for investigation
207,250,CCTV footage reviewed for this incident
422,87,CCTV network switch checked during response
156,387,Patrol radio used during response coordination
20,190,Alarm panel alert connected to the response
225,342,Badge reader logs used for access verification
76,460,Network security logs reviewed
354,468,Video recording checked during investigation
380,373,Door controller event related to the incident
243,268,Security workstation used for incident documentation
196,485,Door controller event related to the incident
406,239,Incident report printed from this device
316,394,Network security logs reviewed
487,40,Server logs reviewed for investigation
313,104,CCTV network switch checked during response
415,22,Server logs reviewed for investigation
102,428,CCTV footage reviewed for this incident
423,100,CCTV footage reviewed for this incident
200,233,Patrol radio used during response coordination
437,69,Server logs reviewed for investigation
210,493,Network security logs reviewed
438,436,Door controller event related to the incident
278,475,Video recording checked during investigation
196,385,CCTV network switch checked during response
78,222,Patrol radio used during response coordination
437,210,CCTV footage reviewed for this incident
294,398,CCTV network switch checked during response
230,344,Patrol radio used during response coordination
310,206,CCTV footage reviewed for this incident
465,399,Door controller event related to the incident
335,341,Server logs reviewed for investigation
460,406,Alarm panel alert connected to the response
434,467,Patrol radio used during response coordination
162,436,Door controller event related to the incident
419,484,CCTV footage reviewed for this incident
142,22,Server logs reviewed for investigation
215,230,Server logs reviewed for investigation
70,337,Network security logs reviewed
152,315,Server logs reviewed for investigation
43,143,Video recording checked during investigation
286,116,CCTV footage reviewed for this incident
394,237,Alarm panel alert connected to the response
122,138,Video recording checked during investigation
285,136,Network security logs reviewed
206,258,Network device checked during response
221,294,Network device checked during response
366,266,Security workstation used for incident documentation
182,421,Patrol radio used during response coordination
173,365,Security workstation used for incident documentation
460,2,Badge reader logs used for access verification
210,109,Server logs reviewed for investigation
363,69,Server logs reviewed for investigation
76,220,Alarm panel alert connected to the response
7,414,Video recording checked during investigation
359,116,CCTV footage reviewed for this incident
453,76,Network device checked during response
105,395,Video recording checked during investigation
27,14,Patrol radio used during response coordination
90,151,Alarm panel alert connected to the response
66,288,CCTV footage reviewed for this incident
311,366,Video recording checked during investigation
369,330,Incident report printed from this device
436,90,Server logs reviewed for investigation
273,112,Network device checked during response
342,177,Patrol radio used during response coordination
125,445,CCTV footage reviewed for this incident
434,23,Door controller event related to the incident
349,64,Alarm panel alert connected to the response
113,152,Security workstation used for incident documentation
263,228,Badge reader logs used for access verification
281,355,Network security logs reviewed
265,315,Server logs reviewed for investigation
37,199,Network device checked during response
383,397,Video recording checked during investigation
405,165,Server logs reviewed for investigation
122,78,Incident report printed from this device
365,160,Network security logs reviewed
123,104,CCTV network switch checked during response
500,310,Network security logs reviewed
119,159,CCTV footage reviewed for this incident
25,176,Security workstation used for incident documentation
164,71,Alarm panel alert connected to the response
306,326,Door controller event related to the incident
87,7,Security workstation used for incident documentation
119,367,Security workstation used for incident documentation
334,309,Incident report printed from this device
129,490,CCTV network switch checked during response
302,4,Incident report printed from this device
189,463,Network device checked during response
140,446,CCTV footage reviewed for this incident
53,488,Badge reader logs used for access verification
458,448,Video recording checked during investigation
142,396,Door controller event related to the incident
114,369,Video recording checked during investigation
160,106,Network device checked during response
394,286,Door controller event related to the incident
130,206,CCTV footage reviewed for this incident
243,394,Network security logs reviewed
214,47,CCTV footage reviewed for this incident
245,342,Badge reader logs used for access verification
479,206,CCTV footage reviewed for this incident
442,59,Incident report printed from this device
435,96,Incident report printed from this device
367,281,Door controller event related to the incident
141,69,Server logs reviewed for investigation
261,175,Badge reader logs used for access verification
102,252,CCTV network switch checked during response
309,1,Door controller event related to the incident
313,272,Network security logs reviewed
131,94,Patrol radio used during response coordination
166,90,Server logs reviewed for investigation
243,475,Video recording checked during investigation
301,326,Door controller event related to the incident
399,413,Video recording checked during investigation
210,381,Badge reader logs used for access verification
432,376,Patrol radio used during response coordination
479,170,Network security logs reviewed
88,286,Door controller event related to the incident
468,335,CCTV network switch checked during response
254,457,Incident report printed from this device
459,324,Video recording checked during investigation
301,10,CCTV footage reviewed for this incident
222,162,Network device checked during response
198,330,Incident report printed from this device
368,229,Alarm panel alert connected to the response
100,368,Security workstation used for incident documentation
369,92,Badge reader logs used for access verification
352,12,Video recording checked during investigation
145,447,Door controller event related to the incident
367,181,Security workstation used for incident documentation
338,447,Door controller event related to the incident
149,473,Video recording checked during investigation
399,125,Security workstation used for incident documentation
329,476,Network security logs reviewed
390,430,Video recording checked during investigation
417,201,Network device checked during response
352,231,Network device checked during response
119,157,Badge reader logs used for access verification
480,321,Badge reader logs used for access verification
426,475,Video recording checked during investigation
155,172,Incident report printed from this device
327,360,Security workstation used for incident documentation
384,261,Patrol radio used during response coordination
342,207,Badge reader logs used for access verification
359,248,Badge reader logs used for access verification
285,130,Network security logs reviewed
258,205,Network security logs reviewed
318,101,Video recording checked during investigation
96,216,Badge reader logs used for access verification
64,394,Network security logs reviewed
74,78,Incident report printed from this device
452,211,Network device checked during response
133,78,Incident report printed from this device
98,261,Patrol radio used during response coordination
52,300,Network device checked during response
313,146,CCTV network switch checked during response
160,47,CCTV footage reviewed for this incident
36,86,Alarm panel alert connected to the response
94,150,Door controller event related to the incident
229,126,Security workstation used for incident documentation
217,423,Alarm panel alert connected to the response
420,385,CCTV network switch checked during response
254,382,Network security logs reviewed
38,5,Network security logs reviewed
138,388,Server logs reviewed for investigation
250,341,Server logs reviewed for investigation
262,58,Incident report printed from this device
438,376,Patrol radio used during response coordination
335,33,Video recording checked during investigation
127,255,Patrol radio used during response coordination
428,384,CCTV network switch checked during response
238,55,Network device checked during response
326,481,Door controller event related to the incident
54,98,Incident report printed from this device
460,225,CCTV footage reviewed for this incident
208,132,Video recording checked during investigation
34,23,Door controller event related to the incident
76,108,Network security logs reviewed
150,444,Badge reader logs used for access verification
324,272,Network security logs reviewed
165,401,Alarm panel alert connected to the response
163,347,Patrol radio used during response coordination
434,269,Badge reader logs used for access verification
315,454,Server logs reviewed for investigation
459,430,Video recording checked during investigation
53,123,Badge reader logs used for access verification
105,210,CCTV footage reviewed for this incident
49,324,Video recording checked during investigation
54,266,Security workstation used for incident documentation
270,162,Network device checked during response
119,392,Badge reader logs used for access verification
451,30,Door controller event related to the incident
346,67,CCTV network switch checked during response
357,5,Network security logs reviewed
187,110,Door controller event related to the incident
278,434,CCTV network switch checked during response
23,116,CCTV footage reviewed for this incident
265,474,Network device checked during response
115,456,Door controller event related to the incident
231,431,CCTV network switch checked during response
436,16,Incident report printed from this device
241,334,Network security logs reviewed
134,253,Patrol radio used during response coordination
88,299,Badge reader logs used for access verification
185,181,Security workstation used for incident documentation
462,426,Patrol radio used during response coordination
498,497,Patrol radio used during response coordination
192,408,Alarm panel alert connected to the response
381,106,Network device checked during response
367,128,Network security logs reviewed
174,303,Alarm panel alert connected to the response
423,193,Incident report printed from this device
361,361,Patrol radio used during response coordination
373,188,Video recording checked during investigation
497,169,Video recording checked during investigation
147,210,CCTV footage reviewed for this incident
392,332,Incident report printed from this device
46,426,Patrol radio used during response coordination
362,401,Alarm panel alert connected to the response
55,285,Badge reader logs used for access verification
175,474,Network device checked during response
92,224,Server logs reviewed for investigation
56,276,Incident report printed from this device
437,458,Badge reader logs used for access verification
432,2,Badge reader logs used for access verification
362,224,Server logs reviewed for investigation
446,66,Server logs reviewed for investigation
258,297,Network security logs reviewed
