incident_id,user_id,assigned_date,role_in_incident
72,274,2026-03-23,Access Control Reviewer
268,77,2025-07-25,CCTV Reviewer
495,290,2025-01-02,Investigator
63,439,2026-04-27,Incident Owner
486,87,2025-03-01,Investigator
199,247,2024-06-27,Access Control Reviewer
309,341,2025-09-06,Investigator
225,338,2024-12-17,Technical Support
387,401,2025-04-26,Incident Owner
187,107,2025-11-21,Shift Supervisor
437,244,2026-02-03,Investigator
468,30,2024-08-06,Technical Support
404,365,2024-10-12,Technical Support
384,232,2026-02-23,Shift Supervisor
352,102,2025-06-25,Shift Supervisor
269,55,2025-03-14,Incident Owner
159,349,2024-10-15,Access Control Reviewer
58,496,2025-05-23,Incident Owner
362,262,2025-06-03,Shift Supervisor
71,390,2025-06-04,Investigator
295,37,2025-12-21,Shift Supervisor
473,395,2026-05-20,Incident Owner
53,489,2025-01-17,Reporter
451,340,2024-08-19,Shift Supervisor
100,445,2025-09-02,Shift Supervisor
163,61,2024-09-16,Technical Support
109,437,2024-06-12,Shift Supervisor
375,20,2025-03-14,Incident Owner
252,247,2026-02-06,CCTV Reviewer
178,465,2026-01-27,Shift Supervisor
18,42,2025-07-31,Field Security Officer
332,148,2024-08-15,Investigator
131,489,2024-05-23,Shift Supervisor
65,469,2024-11-08,Access Control Reviewer
96,373,2024-04-30,Investigator
478,116,2025-06-11,Technical Support
93,101,2024-06-01,Access Control Reviewer
341,181,2024-05-15,CCTV Reviewer
45,344,2024-12-04,CCTV Reviewer
359,422,2024-08-09,CCTV Reviewer
51,22,2025-12-26,CCTV Reviewer
429,437,2026-03-28,Shift Supervisor
395,325,2025-08-23,CCTV Reviewer
129,46,2024-08-06,Technical Support
48,319,2026-04-12,Access Control Reviewer
182,128,2024-09-09,CCTV Reviewer
49,262,2025-08-27,Field Security Officer
486,180,2026-02-15,CCTV Reviewer
9,442,2024-09-25,CCTV Reviewer
230,143,2025-09-21,CCTV Reviewer
179,138,2024-09-27,Technical Support
436,237,2025-04-08,Reporter
486,262,2025-08-16,Investigator
46,363,2026-03-25,Technical Support
205,351,2025-02-28,Shift Supervisor
437,469,2026-03-14,Technical Support
1,247,2026-04-27,Shift Supervisor
311,323,2024-07-10,Incident Owner
286,108,2024-08-10,Investigator
205,325,2025-11-19,Incident Owner
196,173,2024-12-29,Investigator
442,271,2025-12-29,Access Control Reviewer
392,195,2026-06-08,CCTV Reviewer
329,17,2025-06-29,CCTV Reviewer
13,24,2024-12-24,CCTV Reviewer
84,486,2025-05-20,CCTV Reviewer
137,104,2025-05-07,Incident Owner
354,283,2025-08-28,Shift Supervisor
102,221,2024-06-12,Incident Owner
380,208,2025-09-04,Investigator
444,101,2024-07-14,Incident Owner
188,278,2026-04-08,Reporter
484,319,2026-01-16,Technical Support
158,323,2026-05-21,Incident Owner
477,335,2025-10-11,CCTV Reviewer
11,493,2025-09-10,Field Security Officer
365,94,2025-02-13,CCTV Reviewer
64,74,2025-03-13,Field Security Officer
371,244,2025-07-15,CCTV Reviewer
407,305,2026-02-21,Technical Support
18,137,2025-04-28,Incident Owner
431,179,2025-09-15,Reporter
444,284,2025-05-20,Investigator
211,151,2025-08-03,Investigator
160,180,2025-08-11,Incident Owner
406,439,2024-08-28,Technical Support
453,115,2024-11-15,Incident Owner
461,420,2025-10-02,Shift Supervisor
238,39,2025-11-07,Shift Supervisor
159,404,2025-03-30,Technical Support
162,188,2025-06-06,CCTV Reviewer
422,43,2024-10-11,Investigator
407,286,2025-11-05,Access Control Reviewer
276,318,2024-05-23,CCTV Reviewer
452,222,2025-08-24,Incident Owner
450,286,2026-03-27,Shift Supervisor
120,202,2024-12-26,Access Control Reviewer
365,416,2026-03-02,CCTV Reviewer
405,271,2025-05-30,CCTV Reviewer
285,344,2024-12-10,Technical Support
371,179,2024-06-14,Technical Support
22,129,2025-02-13,CCTV Reviewer
309,81,2026-03-26,Investigator
292,427,2024-12-17,Field Security Officer
143,319,2026-04-02,Incident Owner
80,286,2025-01-15,Shift Supervisor
62,395,2025-12-10,Investigator
457,124,2025-10-07,Access Control Reviewer
179,441,2025-04-01,Technical Support
340,419,2024-06-25,Shift Supervisor
310,214,2025-10-19,CCTV Reviewer
301,145,2025-12-29,Shift Supervisor
120,486,2025-10-31,Access Control Reviewer
472,446,2025-04-18,Access Control Reviewer
356,74,2025-04-21,Shift Supervisor
39,53,2025-04-04,Technical Support
393,50,2026-03-14,Investigator
19,368,2026-03-21,Reporter
164,285,2025-04-23,Reporter
8,460,2024-09-23,Investigator
116,192,2025-07-29,CCTV Reviewer
209,77,2024-05-18,Incident Owner
87,11,2026-02-04,Shift Supervisor
294,348,2024-07-04,Investigator
35,282,2025-08-16,Incident Owner
262,120,2024-09-11,Field Security Officer
85,423,2024-09-08,Incident Owner
57,129,2025-12-06,Field Security Officer
25,295,2024-10-17,Shift Supervisor
267,415,2024-09-13,Shift Supervisor
139,190,2025-05-16,Shift Supervisor
169,366,2024-08-08,Shift Supervisor
203,174,2024-11-15,CCTV Reviewer
237,378,2024-12-02,CCTV Reviewer
400,419,2024-07-14,Investigator
185,329,2024-06-28,Shift Supervisor
247,292,2025-10-22,Field Security Officer
400,3,2025-08-09,Access Control Reviewer
462,242,2026-02-03,Field Security Officer
114,341,2025-10-30,Field Security Officer
457,206,2024-08-25,Investigator
173,123,2025-12-15,Access Control Reviewer
122,86,2025-07-06,Technical Support
51,344,2025-03-24,Access Control Reviewer
475,279,2026-04-22,Investigator
186,325,2024-12-18,Field Security Officer
356,388,2026-06-10,Investigator
12,47,2025-10-15,Investigator
208,21,2024-10-23,Technical Support
434,205,2025-11-04,Access Control Reviewer
217,145,2024-09-06,CCTV Reviewer
71,313,2025-10-21,Shift Supervisor
69,402,2025-01-13,Shift Supervisor
141,493,2025-10-03,Investigator
335,407,2026-02-26,CCTV Reviewer
60,55,2024-09-14,Incident Owner
367,79,2026-02-15,Field Security Officer
315,443,2026-01-12,Shift Supervisor
320,286,2025-09-16,Investigator
3,344,2025-07-09,Shift Supervisor
389,45,2025-09-25,CCTV Reviewer
114,475,2025-04-16,Reporter
133,57,2024-06-29,Technical Support
240,443,2024-05-22,CCTV Reviewer
390,361,2025-12-09,Field Security Officer
324,216,2025-12-03,Investigator
496,294,2024-11-24,Investigator
322,268,2024-11-21,Investigator
201,343,2026-03-14,Incident Owner
246,382,2026-06-17,Shift Supervisor
469,220,2025-09-22,Field Security Officer
395,100,2024-09-29,Shift Supervisor
417,444,2025-07-02,CCTV Reviewer
483,61,2026-06-12,Shift Supervisor
361,325,2026-03-16,Technical Support
283,253,2024-06-28,CCTV Reviewer
449,245,2026-01-08,Investigator
163,188,2024-09-27,Shift Supervisor
283,484,2024-12-22,Field Security Officer
451,314,2025-10-13,Incident Owner
396,260,2024-11-28,Reporter
83,273,2024-10-06,Investigator
460,441,2025-10-16,CCTV Reviewer
475,312,2026-04-05,Technical Support
126,430,2026-04-28,Shift Supervisor
168,221,2025-12-19,Technical Support
228,481,2024-11-15,Investigator
364,225,2025-06-16,CCTV Reviewer
206,360,2024-07-11,Shift Supervisor
50,326,2025-08-02,Investigator
461,352,2025-12-13,CCTV Reviewer
65,271,2026-03-12,Reporter
182,386,2025-06-25,Incident Owner
324,3,2024-05-09,Technical Support
471,61,2026-03-01,Shift Supervisor
135,337,2026-03-10,Investigator
51,93,2025-05-18,Reporter
82,286,2025-02-09,Reporter
229,493,2026-01-07,Investigator
147,31,2025-04-10,Incident Owner
89,22,2025-05-11,CCTV Reviewer
458,310,2024-07-04,Reporter
18,418,2024-12-15,Field Security Officer
92,308,2026-05-09,Incident Owner
498,15,2025-01-31,Investigator
217,64,2025-12-15,Shift Supervisor
42,370,2024-07-17,Reporter
20,496,2024-06-20,Shift Supervisor
91,42,2024-09-04,CCTV Reviewer
17,146,2024-11-22,CCTV Reviewer
124,428,2025-01-11,Investigator
492,107,2024-06-11,Access Control Reviewer
198,168,2025-03-17,Incident Owner
106,314,2025-04-27,Reporter
66,95,2024-11-10,Incident Owner
88,414,2025-12-21,Shift Supervisor
315,487,2025-08-05,Field Security Officer
438,59,2024-12-01,Access Control Reviewer
156,31,2025-02-01,Access Control Reviewer
52,283,2025-08-04,Investigator
202,183,2024-08-30,Investigator
372,327,2024-08-13,CCTV Reviewer
193,357,2024-05-25,Field Security Officer
159,467,2025-02-06,Field Security Officer
440,246,2025-07-30,Investigator
208,304,2025-02-08,CCTV Reviewer
320,175,2025-08-21,CCTV Reviewer
324,185,2026-04-29,Technical Support
461,149,2025-12-19,Investigator
291,178,2024-10-30,Access Control Reviewer
452,111,2025-12-27,Technical Support
414,448,2026-06-17,Incident Owner
204,199,2025-06-13,Reporter
414,195,2025-01-20,CCTV Reviewer
202,269,2024-11-07,Field Security Officer
328,179,2025-10-18,CCTV Reviewer
396,88,2025-05-30,CCTV Reviewer
11,346,2025-03-22,Access Control Reviewer
13,467,2024-08-19,Investigator
466,409,2025-03-10,Shift Supervisor
317,176,2025-06-11,Access Control Reviewer
484,441,2024-09-09,Technical Support
3,282,2026-04-10,Investigator
405,421,2024-06-10,Technical Support
358,432,2025-02-14,Technical Support
311,44,2024-12-15,Incident Owner
446,411,2025-09-04,Access Control Reviewer
232,412,2024-09-15,Technical Support
4,121,2026-01-25,Investigator
403,429,2024-06-25,Shift Supervisor
31,188,2026-06-07,Technical Support
11,91,2025-06-02,Investigator
355,32,2025-08-18,Access Control Reviewer
349,181,2025-07-13,Field Security Officer
140,228,2025-04-15,CCTV Reviewer
340,186,2025-06-28,CCTV Reviewer
46,81,2026-02-23,Technical Support
412,108,2026-01-04,Reporter
441,84,2024-06-03,CCTV Reviewer
447,425,2026-01-11,Field Security Officer
246,376,2025-02-21,CCTV Reviewer
156,351,2025-12-09,Shift Supervisor
488,343,2025-12-08,Technical Support
449,217,2024-12-19,Shift Supervisor
228,149,2025-12-14,CCTV Reviewer
318,287,2024-06-11,Shift Supervisor
403,462,2024-12-16,Shift Supervisor
381,369,2025-02-26,Incident Owner
209,295,2025-09-05,Investigator
33,70,2025-01-22,Incident Owner
441,383,2026-06-15,Shift Supervisor
53,244,2026-06-11,CCTV Reviewer
285,393,2024-10-04,Technical Support
340,264,2025-09-21,Technical Support
352,271,2024-10-16,Access Control Reviewer
488,113,2024-06-29,Incident Owner
234,300,2025-06-04,Technical Support
249,354,2024-07-01,CCTV Reviewer
16,350,2025-04-06,Incident Owner
269,498,2025-05-08,Shift Supervisor
31,485,2026-06-15,Shift Supervisor
318,194,2025-06-15,CCTV Reviewer
206,380,2024-06-22,Access Control Reviewer
23,209,2026-01-22,Access Control Reviewer
187,274,2024-08-01,Technical Support
495,83,2025-06-24,Technical Support
371,476,2025-07-28,Technical Support
64,297,2024-11-26,Shift Supervisor
125,462,2025-05-02,CCTV Reviewer
43,356,2024-08-08,Technical Support
371,387,2025-03-27,Shift Supervisor
492,497,2024-11-04,Shift Supervisor
349,23,2024-08-21,Technical Support
382,177,2024-10-04,CCTV Reviewer
101,417,2025-04-23,Incident Owner
432,409,2024-08-28,Shift Supervisor
391,75,2026-04-01,CCTV Reviewer
473,78,2025-05-08,Investigator
177,157,2026-03-05,Access Control Reviewer
215,76,2026-04-08,Incident Owner
17,267,2024-05-15,CCTV Reviewer
7,181,2025-06-06,Technical Support
496,87,2025-03-13,Technical Support
175,13,2026-01-24,Incident Owner
416,108,2026-02-14,Incident Owner
148,23,2025-03-12,Incident Owner
20,358,2025-09-26,Investigator
486,210,2026-05-18,Investigator
332,214,2024-11-04,Field Security Officer
382,103,2026-05-13,Technical Support
148,478,2024-09-07,Technical Support
496,281,2024-07-01,Investigator
390,142,2024-11-12,Access Control Reviewer
450,35,2025-12-26,Access Control Reviewer
471,450,2026-02-03,Field Security Officer
94,91,2025-01-01,Incident Owner
159,80,2025-04-08,Investigator
396,468,2025-01-27,Investigator
349,414,2025-11-09,Incident Owner
168,217,2025-02-22,Shift Supervisor
385,137,2024-09-04,Shift Supervisor
494,312,2024-05-17,Shift Supervisor
482,23,2024-08-17,Investigator
136,177,2025-10-09,Technical Support
167,477,2025-09-29,Access Control Reviewer
449,30,2025-12-21,Shift Supervisor
268,42,2025-01-23,Field Security Officer
96,343,2024-05-02,Shift Supervisor
69,203,2024-09-30,Shift Supervisor
105,219,2026-06-06,Reporter
302,394,2025-10-19,Reporter
216,480,2024-06-18,Field Security Officer
307,396,2024-10-01,Investigator
64,451,2024-05-09,Field Security Officer
52,190,2026-03-13,Shift Supervisor
426,32,2025-01-13,Investigator
407,348,2024-10-27,Shift Supervisor
65,96,2024-06-21,Incident Owner
464,103,2026-01-20,Incident Owner
64,61,2025-10-05,Reporter
366,331,2025-09-06,Incident Owner
381,220,2025-08-02,Access Control Reviewer
115,232,2026-01-13,Shift Supervisor
145,381,2026-06-14,CCTV Reviewer
215,30,2025-03-03,Access Control Reviewer
203,158,2024-10-06,Incident Owner
274,174,2025-05-14,Incident Owner
2,161,2025-09-28,Field Security Officer
377,94,2024-07-16,Reporter
381,211,2025-07-01,Investigator
118,46,2025-07-21,Reporter
281,179,2025-01-31,Investigator
46,441,2025-07-26,Investigator
151,407,2024-09-18,Reporter
228,244,2026-05-14,Field Security Officer
106,372,2024-12-30,Investigator
