camera_id,installation_date,last_maintenance_date,status,location_id
137,2024-09-08,2024-12-04,Active,304
138,2025-03-04,2025-11-29,Inactive,374
139,2025-02-05,2025-11-04,Offline,488
140,2024-12-26,2025-08-14,Maintenance,147
141,2024-08-29,2024-10-28,Inactive,181
142,2025-01-21,2025-03-03,Maintenance,387
143,2024-05-18,2024-11-22,Maintenance,47
144,2025-05-12,2025-06-24,Inactive,179
145,2024-07-03,2025-01-09,Maintenance,252
146,2024-08-20,2025-02-03,Maintenance,371
147,2025-02-19,2025-04-22,Inactive,295
148,2024-11-03,2025-06-27,Inactive,374
149,2024-06-14,2025-02-10,Maintenance,139
150,2024-09-29,2025-07-06,Inactive,324
151,2024-09-05,2025-05-27,Inactive,402
152,2024-05-05,2025-02-04,Active,381
153,2024-10-29,2025-07-06,Active,269
154,2025-01-12,2025-05-28,Inactive,323
155,2024-05-03,2024-08-09,Maintenance,70
156,2025-04-24,2026-01-11,Maintenance,255
157,2024-09-27,2025-01-01,Active,482
158,2024-05-01,2024-12-17,Active,454
159,2025-03-05,2025-10-13,Inactive,201
160,2024-03-24,2025-01-03,Offline,224
161,2024-09-03,2025-03-03,Active,26
162,2024-09-06,2024-10-10,Maintenance,299
163,2024-03-08,2024-07-20,Inactive,424
164,2024-10-02,2025-05-26,Inactive,400
165,2025-01-05,2025-05-26,Inactive,443
166,2024-02-18,2024-05-23,Offline,42
167,2025-04-27,2025-08-21,Offline,53
168,2024-06-24,2024-08-10,Offline,260
169,2024-01-29,2024-04-12,Inactive,80
170,2024-10-27,2025-01-10,Active,78
171,2024-10-23,2025-06-04,Active,367
172,2024-04-11,2024-07-10,Inactive,165
173,2024-09-09,2024-11-27,Maintenance,464
174,2025-03-10,2025-11-17,Maintenance,175
175,2024-07-04,2025-04-09,Inactive,348
176,2024-09-23,2025-02-17,Active,422
177,2024-09-09,2025-02-22,Offline,89
178,2024-10-10,2024-11-16,Active,357
179,2024-04-09,2024-07-03,Maintenance,470
180,2024-09-15,2025-06-14,Inactive,461
181,2024-02-28,2024-06-17,Maintenance,321
182,2024-08-04,2025-03-29,Offline,149
183,2024-05-27,2024-10-25,Active,22
184,2024-12-31,2025-02-20,Offline,289
185,2024-05-17,2024-07-24,Active,379
186,2024-05-29,2024-09-23,Inactive,260
187,2024-07-24,2024-09-01,Maintenance,212
188,2024-02-11,2024-08-16,Maintenance,347
189,2025-03-11,2025-12-12,Offline,419
190,2024-08-13,2025-01-09,Active,166
191,2025-03-21,2025-12-17,Maintenance,179
192,2024-03-06,2024-07-26,Active,318
193,2024-06-15,2024-12-31,Active,196
194,2024-03-18,2024-06-26,Active,268
195,2024-08-04,2025-05-07,Maintenance,205
196,2024-05-21,2024-10-28,Active,362
197,2024-08-02,2025-01-07,Offline,278
198,2025-02-04,2025-03-24,Maintenance,154
199,2024-02-03,2024-10-05,Active,278
200,2024-03-19,2024-10-25,Maintenance,427
201,2024-11-26,2025-07-26,Active,17
202,2025-01-05,2025-05-04,Offline,285
203,2024-05-10,2024-07-19,Active,475
204,2024-04-30,2024-09-01,Inactive,473
205,2024-01-05,2024-04-05,Active,70
206,2024-10-21,2025-06-30,Inactive,327
207,2024-02-20,2024-09-12,Inactive,154
208,2024-02-07,2024-10-01,Inactive,69
209,2024-07-01,2025-04-14,Maintenance,46
210,2024-08-24,2024-10-31,Maintenance,467
211,2024-10-13,2025-02-15,Active,201
212,2024-04-02,2024-10-12,Maintenance,211
213,2024-02-14,2024-07-07,Maintenance,220
214,2024-07-25,2024-12-27,Maintenance,347
215,2024-09-19,2025-06-05,Maintenance,406
216,2024-04-11,2024-05-20,Inactive,46
217,2024-05-07,2024-11-19,Active,134
218,2024-12-27,2025-04-08,Offline,343
219,2025-02-07,2025-08-10,Maintenance,68
220,2025-05-11,2025-10-15,Active,412
221,2024-07-19,2025-01-30,Offline,178
222,2025-04-06,2025-12-29,Maintenance,498
223,2025-02-14,2025-11-02,Inactive,156
224,2024-07-12,2024-12-14,Offline,153
225,2024-03-30,2024-10-19,Maintenance,118
226,2024-05-23,2025-03-16,Active,34
227,2024-07-11,2024-10-13,Maintenance,468
228,2024-06-05,2024-08-05,Active,236
229,2025-03-22,2025-11-24,Offline,187
230,2025-01-16,2025-02-23,Offline,178
231,2024-08-16,2024-10-07,Active,476
232,2024-08-30,2025-04-14,Maintenance,9
233,2024-12-13,2025-10-08,Active,187
234,2024-07-17,2025-01-26,Offline,158
235,2024-02-07,2024-05-26,Offline,491
236,2024-05-25,2024-11-27,Active,384
237,2025-02-12,2025-08-26,Inactive,335
238,2025-03-23,2025-05-09,Inactive,249
239,2024-02-19,2024-06-20,Maintenance,32
240,2025-02-10,2025-11-09,Offline,261
241,2024-02-14,2024-05-26,Active,471
242,2025-05-13,2025-07-22,Inactive,98
243,2024-10-18,2025-07-08,Active,26
244,2025-01-29,2025-09-21,Inactive,33
245,2024-07-10,2025-02-23,Offline,150
246,2024-12-27,2025-06-22,Offline,1
247,2024-06-07,2024-08-01,Maintenance,115
248,2024-06-25,2024-09-07,Offline,490
249,2024-02-21,2024-10-12,Maintenance,357
250,2024-11-29,2025-04-18,Maintenance,470
251,2024-12-12,2025-04-05,Inactive,98
252,2024-03-13,2024-07-19,Offline,42
253,2025-01-07,2025-08-21,Maintenance,414
254,2024-01-30,2024-09-12,Offline,289
255,2024-02-22,2024-10-06,Inactive,25
256,2025-03-22,2025-05-10,Active,145
257,2024-04-26,2025-02-09,Inactive,1
258,2024-05-07,2024-06-26,Inactive,364
259,2024-12-18,2025-06-26,Maintenance,452
260,2025-02-17,2025-08-11,Active,149
261,2025-02-01,2025-11-07,Maintenance,379
262,2024-12-18,2025-01-22,Maintenance,322
263,2025-02-02,2025-08-26,Offline,133
264,2024-11-26,2025-01-19,Active,152
265,2025-02-14,2025-06-26,Maintenance,432
266,2024-03-15,2024-07-31,Offline,373
267,2024-04-06,2024-06-18,Inactive,408
268,2024-12-05,2025-01-22,Active,107
269,2024-03-26,2024-08-10,Active,394
270,2024-02-02,2024-09-24,Maintenance,264
271,2024-11-06,2025-04-18,Inactive,470
272,2024-10-03,2024-12-22,Maintenance,302
273,2024-05-25,2024-10-25,Inactive,458
274,2024-01-03,2024-07-24,Active,113
275,2025-05-05,2025-08-15,Maintenance,268
276,2024-10-23,2025-02-21,Active,205
277,2024-02-05,2024-08-05,Active,363
278,2024-05-14,2024-11-15,Maintenance,265
279,2025-01-01,2025-04-02,Active,153
280,2024-10-22,2024-11-24,Maintenance,415
281,2025-03-05,2025-12-23,Active,266
282,2025-03-06,2025-07-24,Inactive,104
283,2025-04-17,2025-05-23,Inactive,219
284,2024-08-28,2024-11-09,Inactive,498
285,2025-03-22,2025-09-04,Maintenance,436
286,2024-11-05,2025-02-03,Offline,256
287,2024-07-07,2024-08-07,Maintenance,103
288,2025-04-29,2025-09-14,Maintenance,410
289,2024-06-20,2024-12-10,Active,201
290,2024-05-17,2025-02-24,Maintenance,207
291,2024-04-15,2024-07-01,Active,389
292,2024-05-03,2024-06-03,Active,374
293,2024-05-07,2024-08-04,Inactive,343
294,2024-07-28,2025-03-01,Active,391
295,2024-11-19,2025-02-25,Active,141
296,2025-01-14,2025-08-05,Offline,467
297,2024-01-02,2024-08-06,Inactive,141
298,2024-03-31,2024-07-19,Inactive,252
299,2025-01-08,2025-05-05,Maintenance,235
300,2025-04-02,2025-10-27,Inactive,361
301,2025-04-21,2025-08-10,Inactive,322
302,2024-05-02,2024-07-01,Active,301
303,2024-08-31,2025-01-21,Inactive,124
304,2025-02-24,2025-04-26,Maintenance,151
305,2024-04-29,2024-08-14,Offline,318
306,2025-04-15,2025-10-12,Active,36
307,2024-06-12,2024-10-09,Active,250
308,2024-12-07,2025-05-14,Maintenance,420
309,2025-01-18,2025-05-13,Inactive,455
310,2024-10-29,2025-06-22,Active,6
311,2024-09-06,2025-02-25,Active,267
312,2025-03-16,2025-06-24,Inactive,310
313,2025-04-25,2025-08-22,Offline,258
314,2025-01-25,2025-07-24,Offline,186
315,2024-05-09,2024-10-16,Active,366
316,2024-05-06,2024-07-23,Inactive,277
317,2025-02-04,2025-04-10,Active,397
318,2025-03-26,2025-05-08,Inactive,177
319,2025-04-20,2025-07-28,Inactive,70
320,2024-03-27,2024-08-02,Active,239
321,2025-03-24,2025-12-26,Offline,405
322,2024-04-24,2025-01-26,Offline,18
323,2025-01-02,2025-10-01,Maintenance,101
324,2024-09-12,2025-03-02,Offline,55
325,2024-04-08,2024-10-05,Maintenance,219
326,2025-04-14,2026-01-29,Offline,402
327,2025-04-22,2025-09-24,Inactive,463
328,2024-03-15,2024-10-09,Active,174
329,2025-01-27,2025-09-15,Active,462
330,2025-04-21,2025-09-07,Offline,357
331,2024-12-31,2025-05-18,Offline,11
332,2024-06-17,2024-07-17,Active,402
333,2024-08-15,2024-09-25,Maintenance,95
334,2024-04-14,2024-11-14,Inactive,139
335,2025-01-25,2025-04-17,Inactive,65
336,2025-01-13,2025-03-26,Offline,447
337,2024-09-21,2025-06-10,Maintenance,28
338,2024-11-15,2025-06-17,Active,149
339,2024-12-16,2025-05-16,Inactive,143
340,2024-04-08,2024-07-06,Active,454
341,2025-04-02,2025-11-30,Maintenance,484
342,2024-12-28,2025-03-20,Maintenance,35
343,2024-03-27,2024-09-10,Offline,201
344,2025-01-28,2025-07-12,Inactive,400
345,2024-11-26,2024-12-29,Inactive,21
346,2024-07-05,2025-01-13,Maintenance,451
347,2024-04-29,2024-07-02,Inactive,83
348,2024-03-21,2024-05-28,Inactive,440
349,2025-03-24,2025-07-25,Active,118
350,2025-03-30,2025-11-10,Offline,269
351,2024-09-27,2025-04-15,Maintenance,479
352,2025-05-11,2026-01-26,Maintenance,219
353,2024-10-19,2025-03-10,Maintenance,26
354,2024-03-22,2024-09-08,Inactive,366
355,2024-08-21,2025-01-04,Inactive,37
356,2024-10-04,2025-07-11,Maintenance,498
357,2024-01-18,2024-09-30,Inactive,414
358,2025-04-26,2025-10-04,Active,170
359,2025-02-13,2025-03-20,Maintenance,97
360,2024-08-29,2024-10-11,Maintenance,201
361,2024-03-19,2024-04-26,Maintenance,355
362,2024-08-20,2024-11-07,Active,59
363,2025-05-02,2026-01-05,Inactive,121
364,2024-03-18,2024-06-17,Offline,336
365,2024-12-18,2025-08-18,Maintenance,155
366,2024-07-15,2025-03-22,Active,336
367,2024-03-09,2024-07-25,Inactive,24
368,2024-09-14,2024-12-06,Active,282
369,2024-10-15,2025-04-20,Inactive,31
370,2024-11-08,2025-02-09,Active,231
371,2024-05-18,2025-01-21,Offline,66
372,2024-07-24,2025-03-31,Offline,105
373,2025-05-05,2026-01-22,Maintenance,394
374,2025-02-28,2025-08-29,Active,368
375,2024-02-21,2024-11-24,Offline,239
376,2024-04-18,2024-08-31,Offline,486
377,2024-11-23,2025-01-29,Maintenance,382
378,2024-08-28,2025-06-02,Offline,161
379,2024-07-11,2025-03-06,Maintenance,409
380,2024-09-07,2024-11-18,Offline,165
381,2024-12-28,2025-05-14,Offline,57
382,2025-01-09,2025-02-26,Maintenance,362
383,2024-07-08,2024-10-10,Inactive,163
384,2024-12-10,2025-04-21,Maintenance,122
385,2024-08-28,2024-12-12,Active,185
386,2024-09-29,2024-12-05,Maintenance,411
387,2025-02-14,2025-11-10,Inactive,412
388,2024-12-24,2025-05-12,Offline,316
389,2024-01-31,2024-03-08,Inactive,170
390,2024-12-01,2025-07-16,Active,391
391,2024-08-25,2025-01-07,Maintenance,15
392,2025-04-13,2025-12-02,Inactive,379
393,2025-03-24,2025-10-23,Maintenance,373
394,2024-02-02,2024-06-19,Active,40
395,2024-09-08,2025-03-23,Maintenance,266
396,2024-09-26,2025-06-25,Active,233
397,2024-04-20,2025-02-06,Maintenance,429
398,2024-06-09,2024-08-16,Offline,96
399,2024-11-18,2025-08-05,Inactive,444
400,2024-09-07,2024-11-16,Active,80
401,2024-12-03,2025-09-28,Inactive,438
402,2024-05-18,2025-02-25,Inactive,147
403,2024-07-02,2025-02-01,Offline,45
404,2025-02-04,2025-09-24,Offline,44
405,2024-01-22,2024-04-03,Offline,21
406,2024-11-14,2025-05-06,Active,11
407,2024-01-08,2024-04-03,Offline,90
408,2025-02-07,2025-11-16,Active,265
409,2024-12-16,2025-05-24,Inactive,135
410,2024-07-31,2025-02-12,Inactive,444
411,2025-01-09,2025-03-24,Active,437
412,2024-04-16,2024-09-28,Offline,206
413,2025-04-17,2025-06-12,Maintenance,489
414,2024-08-22,2025-02-07,Offline,84
415,2025-03-23,2025-06-04,Active,301
416,2024-10-22,2024-11-27,Inactive,474
417,2025-03-26,2025-07-16,Inactive,456
418,2024-12-31,2025-10-07,Offline,31
419,2024-10-03,2025-06-02,Inactive,262
420,2024-06-30,2024-10-26,Offline,464
421,2024-09-10,2024-10-16,Active,366
422,2024-12-24,2025-09-02,Maintenance,494
423,2025-02-10,2025-04-01,Maintenance,362
424,2024-06-07,2024-11-13,Active,67
425,2025-01-01,2025-07-26,Inactive,20
426,2024-08-10,2025-06-01,Maintenance,311
427,2025-03-17,2025-12-03,Active,201
428,2024-02-13,2024-08-20,Offline,477
429,2024-04-05,2025-01-26,Active,278
430,2024-05-21,2024-08-29,Maintenance,81
431,2024-02-01,2024-10-07,Maintenance,253
432,2024-10-01,2025-01-23,Active,402
433,2024-09-04,2025-02-12,Maintenance,363
434,2024-10-14,2025-04-21,Active,230
435,2024-06-15,2024-11-12,Maintenance,190
436,2024-02-02,2024-03-04,Maintenance,299
437,2025-04-22,2025-09-01,Maintenance,337
438,2024-06-14,2024-09-25,Offline,122
439,2025-01-09,2025-08-03,Offline,27
440,2024-10-04,2025-01-06,Offline,375
441,2025-02-21,2025-07-16,Maintenance,451
442,2024-08-22,2024-11-28,Maintenance,358
443,2025-01-18,2025-02-25,Maintenance,326
444,2025-01-17,2025-04-22,Maintenance,429
445,2024-10-15,2025-06-03,Offline,440
446,2024-01-07,2024-08-29,Inactive,50
447,2024-07-09,2025-04-08,Offline,94
448,2025-01-13,2025-04-14,Inactive,360
449,2024-12-28,2025-09-14,Offline,79
450,2024-07-20,2025-04-23,Offline,443
451,2024-10-01,2024-12-18,Inactive,343
452,2024-12-03,2025-06-04,Offline,356
453,2024-05-26,2024-10-03,Inactive,206
454,2024-04-22,2025-01-21,Maintenance,392
455,2025-02-23,2025-09-26,Maintenance,55
456,2025-02-05,2025-04-29,Maintenance,31
457,2024-12-17,2025-04-08,Maintenance,40
458,2024-11-22,2025-02-12,Inactive,135
459,2024-07-12,2025-01-03,Maintenance,389
460,2024-02-13,2024-05-18,Offline,115
461,2024-02-20,2024-09-04,Maintenance,479
462,2024-11-23,2025-07-25,Maintenance,292
463,2024-08-24,2025-03-06,Offline,341
464,2024-03-11,2024-07-19,Active,2
465,2024-11-27,2025-01-03,Offline,83
466,2025-05-02,2025-10-11,Inactive,491
467,2025-05-13,2025-09-12,Inactive,407
468,2024-10-29,2025-03-21,Maintenance,293
469,2024-01-15,2024-07-16,Inactive,288
470,2024-11-13,2025-01-04,Offline,272
471,2024-05-09,2024-06-13,Maintenance,456
472,2024-08-24,2025-01-18,Inactive,163
473,2024-05-19,2024-08-28,Maintenance,394
474,2025-03-30,2025-07-10,Offline,315
475,2025-02-10,2025-07-04,Inactive,12
476,2025-02-08,2025-09-08,Offline,25
477,2025-03-05,2025-04-09,Maintenance,214
478,2025-02-21,2025-07-07,Active,92
479,2024-06-03,2024-12-21,Inactive,325
480,2024-11-28,2025-08-21,Active,186
481,2025-02-10,2025-05-11,Offline,320
482,2024-06-18,2024-10-01,Inactive,128
483,2025-01-23,2025-03-15,Maintenance,345
484,2024-02-16,2024-09-29,Maintenance,311
485,2024-07-06,2025-01-17,Active,69
486,2024-12-10,2025-07-23,Offline,410
487,2024-03-08,2024-11-06,Active,476
488,2024-04-17,2024-11-14,Maintenance,11
489,2024-04-05,2024-08-30,Inactive,326
490,2024-09-05,2025-05-12,Offline,246
491,2024-12-06,2025-06-11,Offline,246
492,2024-02-12,2024-06-12,Offline,139
493,2024-05-23,2024-08-06,Inactive,217
494,2024-07-23,2024-08-30,Active,483
495,2024-05-25,2024-08-21,Offline,217
496,2024-12-03,2025-05-30,Active,126
497,2024-10-16,2024-11-24,Maintenance,29
498,2024-10-19,2025-04-02,Maintenance,356
499,2024-10-11,2024-12-03,Offline,116
500,2025-04-25,2025-06-23,Maintenance,450
