log_id,user_id,access_type,location,access_time,status,ip_address
68,107,Server Room Access,Parking,2024-01-25,Denied,192.168.244.28
69,130,System Login,Floor 3,2025-11-17,Failed,192.168.120.66
70,280,Server Room Access,Lobby,2025-01-23,Success,192.168.38.29
71,420,Room Access,Floor 2,2025-05-27,Failed,192.168.186.63
72,88,Room Access,Conference Room,2024-02-12,Denied,192.168.53.241
73,90,Server Room Access,Server Room,2024-03-11,Failed,192.168.166.98
74,260,Room Access,Pool,2025-10-20,Failed,192.168.79.196
75,280,System Login,Floor 3,2026-01-24,Failed,192.168.30.116
76,328,System Login,Conference Room,2026-03-05,Denied,192.168.2.226
77,147,Server Room Access,Reception,2025-02-01,Success,192.168.20.14
78,85,Room Access,Floor 3,2024-02-19,Denied,192.168.157.123
79,417,Server Room Access,Floor 3,2025-08-06,Success,192.168.244.70
80,195,Server Room Access,Floor 1,2025-04-05,Failed,192.168.217.225
81,235,Room Access,Floor 2,2024-05-23,Denied,192.168.42.11
82,81,Server Room Access,Floor 1,2024-02-09,Failed,192.168.97.37
83,141,System Login,Floor 2,2024-07-07,Denied,192.168.25.221
84,82,Server Room Access,Conference Room,2025-10-22,Success,192.168.51.24
85,178,Server Room Access,Floor 3,2024-09-14,Denied,192.168.206.118
86,49,System Login,Main Gate,2025-04-15,Denied,192.168.52.207
87,459,Room Access,Storage,2025-09-29,Denied,192.168.241.186
88,351,Room Access,Floor 2,2026-02-02,Failed,192.168.147.97
89,72,Server Room Access,Conference Room,2025-07-19,Denied,192.168.49.229
90,340,System Login,Floor 2,2025-10-29,Denied,192.168.38.152
91,36,System Login,Parking,2025-11-24,Failed,192.168.39.44
92,379,Room Access,Kitchen,2025-12-23,Denied,192.168.204.215
93,268,Room Access,Gym,2026-02-04,Failed,192.168.184.72
94,376,Room Access,Conference Room,2024-11-20,Failed,192.168.193.204
95,145,Room Access,Floor 2,2024-06-05,Failed,192.168.245.133
96,36,Room Access,Server Room,2025-08-20,Success,192.168.244.220
97,85,Server Room Access,Floor 2,2025-09-11,Denied,192.168.158.215
98,396,Server Room Access,Conference Room,2026-02-15,Success,192.168.92.132
99,369,System Login,Lobby,2024-07-13,Success,192.168.65.17
100,133,Server Room Access,Storage,2026-01-01,Success,192.168.244.153
101,229,Server Room Access,Storage,2024-09-15,Denied,192.168.20.98
102,165,Server Room Access,Parking,2026-01-18,Denied,192.168.226.27
103,56,Room Access,Main Gate,2024-03-14,Success,192.168.135.28
104,153,Server Room Access,Server Room,2024-02-29,Success,192.168.221.196
105,355,Room Access,Main Gate,2024-05-28,Failed,192.168.110.127
106,93,Server Room Access,Storage,2024-10-23,Success,192.168.10.27
107,88,Room Access,Storage,2025-02-08,Failed,192.168.241.19
108,59,Room Access,Floor 2,2026-04-19,Success,192.168.13.125
109,318,Room Access,Storage,2025-04-03,Success,192.168.157.140
110,176,Room Access,Floor 1,2025-05-13,Success,192.168.99.153
111,480,Server Room Access,Reception,2024-05-01,Denied,192.168.71.183
112,157,System Login,Conference Room,2024-01-05,Denied,192.168.185.79
113,165,Room Access,Server Room,2025-04-30,Denied,192.168.185.217
114,206,System Login,Floor 1,2024-02-27,Failed,192.168.51.234
115,144,Room Access,Floor 3,2026-04-26,Success,192.168.85.8
116,166,System Login,Floor 3,2024-07-18,Success,192.168.5.103
117,98,System Login,Floor 2,2025-09-02,Denied,192.168.48.85
118,271,Server Room Access,Parking,2024-05-14,Failed,192.168.176.247
119,110,Server Room Access,Floor 2,2024-07-21,Success,192.168.124.196
120,310,System Login,Floor 2,2026-01-13,Failed,192.168.188.50
121,123,System Login,Conference Room,2026-04-28,Success,192.168.26.242
122,62,Server Room Access,Kitchen,2025-03-26,Success,192.168.173.136
123,362,System Login,Floor 2,2026-04-15,Denied,192.168.81.7
124,326,System Login,Main Gate,2024-03-19,Success,192.168.15.233
125,106,Server Room Access,Conference Room,2024-07-12,Failed,192.168.127.82
126,455,Server Room Access,Conference Room,2024-01-11,Failed,192.168.115.105
127,109,Server Room Access,Floor 1,2025-02-25,Failed,192.168.102.35
128,30,Room Access,Floor 3,2025-08-26,Failed,192.168.248.186
129,382,Room Access,Server Room,2024-12-09,Failed,192.168.49.189
130,211,Server Room Access,Server Room,2024-10-07,Failed,192.168.137.120
131,78,Server Room Access,Lobby,2025-01-18,Denied,192.168.218.197
132,33,System Login,Parking,2025-09-22,Success,192.168.123.129
133,242,System Login,Server Room,2024-06-25,Denied,192.168.84.46
134,267,System Login,Reception,2025-12-24,Failed,192.168.226.9
135,205,System Login,Floor 3,2026-02-03,Denied,192.168.27.61
136,205,Room Access,Gym,2025-04-26,Success,192.168.125.65
137,373,Room Access,Kitchen,2025-03-25,Denied,192.168.157.39
138,454,System Login,Server Room,2024-02-19,Denied,192.168.131.29
139,428,Room Access,Floor 2,2026-01-17,Success,192.168.236.253
140,161,Room Access,Server Room,2024-01-12,Failed,192.168.194.123
141,44,Server Room Access,Storage,2026-01-18,Failed,192.168.34.113
142,32,System Login,Reception,2025-07-05,Denied,192.168.33.227
143,319,System Login,Floor 1,2024-07-03,Success,192.168.46.240
144,148,Server Room Access,Parking,2024-06-30,Failed,192.168.165.210
145,279,Server Room Access,Lobby,2025-04-05,Failed,192.168.185.79
146,350,Room Access,Conference Room,2026-02-20,Success,192.168.249.68
147,203,System Login,Parking,2024-07-29,Success,192.168.119.185
148,374,Room Access,Lobby,2024-02-14,Failed,192.168.141.227
149,10,System Login,Server Room,2025-03-27,Failed,192.168.223.30
150,56,System Login,Back Gate,2025-01-13,Failed,192.168.217.168
151,307,System Login,Back Gate,2025-04-02,Denied,192.168.14.113
152,436,Room Access,Storage,2025-12-02,Success,192.168.204.17
153,457,System Login,Back Gate,2025-09-05,Denied,192.168.105.10
154,302,System Login,Kitchen,2025-09-07,Failed,192.168.150.149
155,275,Room Access,Conference Room,2025-03-18,Success,192.168.58.56
156,295,Room Access,Server Room,2026-03-08,Success,192.168.141.99
157,24,Server Room Access,Conference Room,2024-06-29,Denied,192.168.245.213
158,341,System Login,Storage,2026-01-19,Success,192.168.200.17
159,212,System Login,Floor 1,2024-10-30,Denied,192.168.197.93
160,384,System Login,Server Room,2026-03-02,Failed,192.168.220.28
161,289,System Login,Lobby,2026-02-02,Denied,192.168.146.221
162,391,Server Room Access,Main Gate,2026-03-05,Denied,192.168.24.106
163,99,Server Room Access,Reception,2025-01-07,Denied,192.168.147.121
164,169,System Login,Storage,2025-04-28,Failed,192.168.155.248
165,195,Server Room Access,Back Gate,2025-03-28,Success,192.168.124.97
166,164,Server Room Access,Conference Room,2024-01-10,Denied,192.168.84.244
167,35,Server Room Access,Gym,2025-01-26,Failed,192.168.133.37
168,494,Room Access,Floor 2,2025-04-06,Denied,192.168.49.173
169,40,System Login,Floor 2,2025-08-28,Denied,192.168.23.223
170,55,System Login,Kitchen,2024-02-24,Success,192.168.151.23
171,413,Server Room Access,Reception,2025-10-07,Success,192.168.46.109
172,147,Server Room Access,Floor 3,2026-03-10,Failed,192.168.139.215
173,47,System Login,Conference Room,2025-09-22,Denied,192.168.160.157
174,328,Server Room Access,Storage,2024-10-21,Failed,192.168.210.187
175,455,System Login,Gym,2025-10-06,Denied,192.168.131.34
176,259,Room Access,Gym,2025-06-30,Failed,192.168.159.31
177,465,System Login,Floor 2,2024-01-06,Failed,192.168.35.146
178,82,System Login,Main Gate,2025-02-16,Success,192.168.198.238
179,33,Room Access,Storage,2024-07-11,Denied,192.168.124.62
180,268,Server Room Access,Parking,2025-01-02,Denied,192.168.87.211
181,341,Room Access,Conference Room,2024-09-05,Success,192.168.116.63
182,368,System Login,Server Room,2025-08-19,Success,192.168.102.91
183,257,Server Room Access,Kitchen,2024-07-13,Denied,192.168.152.32
184,53,System Login,Main Gate,2026-01-11,Failed,192.168.138.246
185,194,System Login,Reception,2025-05-31,Denied,192.168.216.215
186,415,Server Room Access,Server Room,2024-04-05,Failed,192.168.142.65
187,390,Server Room Access,Pool,2024-09-08,Success,192.168.186.149
188,263,System Login,Floor 3,2024-10-18,Success,192.168.242.167
189,129,Room Access,Parking,2024-04-23,Success,192.168.242.128
190,394,Server Room Access,Server Room,2025-12-03,Denied,192.168.61.163
191,86,Server Room Access,Parking,2026-01-10,Denied,192.168.103.9
192,25,Server Room Access,Main Gate,2025-08-20,Denied,192.168.94.129
193,256,Server Room Access,Back Gate,2025-02-04,Failed,192.168.70.8
194,154,System Login,Floor 2,2025-07-22,Failed,192.168.101.138
195,229,System Login,Server Room,2025-01-17,Denied,192.168.113.57
196,5,System Login,Gym,2025-01-02,Denied,192.168.246.92
197,301,System Login,Back Gate,2025-04-18,Success,192.168.138.123
198,120,System Login,Storage,2026-01-13,Denied,192.168.47.40
199,34,Server Room Access,Lobby,2025-01-23,Denied,192.168.178.81
200,289,Server Room Access,Back Gate,2026-01-13,Denied,192.168.132.201
201,103,System Login,Server Room,2024-10-20,Failed,192.168.12.206
202,450,System Login,Conference Room,2025-02-25,Denied,192.168.206.142
203,124,System Login,Pool,2026-03-13,Success,192.168.241.194
204,254,System Login,Gym,2025-09-10,Failed,192.168.41.93
205,354,Room Access,Pool,2026-02-18,Failed,192.168.117.16
206,227,Room Access,Back Gate,2024-06-16,Success,192.168.34.98
207,99,Room Access,Floor 1,2024-11-28,Denied,192.168.28.123
208,347,System Login,Pool,2025-12-27,Success,192.168.15.119
209,301,System Login,Lobby,2024-06-06,Failed,192.168.7.134
210,58,System Login,Back Gate,2025-12-04,Success,192.168.122.148
211,427,Room Access,Parking,2026-03-29,Success,192.168.133.51
212,336,System Login,Storage,2025-08-11,Failed,192.168.21.68
213,77,System Login,Reception,2024-07-22,Denied,192.168.56.210
214,311,Room Access,Kitchen,2025-02-14,Failed,192.168.52.46
215,41,System Login,Gym,2024-10-31,Denied,192.168.133.167
216,215,Room Access,Gym,2024-02-29,Success,192.168.198.188
217,489,Server Room Access,Reception,2025-05-06,Success,192.168.29.117
218,426,Room Access,Lobby,2025-05-22,Success,192.168.79.208
219,328,Room Access,Back Gate,2026-03-21,Success,192.168.224.59
220,380,Server Room Access,Main Gate,2025-02-20,Failed,192.168.94.78
221,388,System Login,Storage,2024-12-12,Failed,192.168.17.106
222,282,System Login,Gym,2025-01-24,Denied,192.168.93.211
223,179,Room Access,Floor 3,2026-01-09,Denied,192.168.57.2
224,38,Server Room Access,Storage,2024-01-25,Failed,192.168.240.40
225,424,Room Access,Floor 3,2024-06-16,Denied,192.168.240.70
226,443,Server Room Access,Floor 1,2025-10-04,Success,192.168.95.132
227,119,Room Access,Floor 3,2025-08-25,Failed,192.168.120.50
228,460,Server Room Access,Conference Room,2025-05-10,Success,192.168.57.232
229,458,Room Access,Server Room,2025-08-05,Success,192.168.86.148
230,110,Server Room Access,Conference Room,2024-08-29,Failed,192.168.206.192
231,406,Server Room Access,Storage,2025-12-09,Denied,192.168.126.101
232,2,System Login,Floor 2,2025-02-28,Success,192.168.37.188
233,6,Room Access,Floor 2,2026-04-03,Success,192.168.211.67
234,272,System Login,Parking,2025-12-31,Success,192.168.236.69
235,110,Room Access,Kitchen,2024-09-12,Denied,192.168.35.105
236,245,Server Room Access,Conference Room,2025-01-18,Failed,192.168.23.224
237,442,Server Room Access,Kitchen,2024-04-19,Denied,192.168.165.219
238,63,Server Room Access,Back Gate,2025-04-04,Success,192.168.189.46
239,325,System Login,Server Room,2026-02-11,Success,192.168.225.173
240,401,System Login,Pool,2025-02-20,Failed,192.168.48.200
241,258,Room Access,Reception,2025-02-03,Failed,192.168.61.163
242,402,Server Room Access,Main Gate,2025-07-05,Failed,192.168.61.122
243,74,Server Room Access,Back Gate,2026-04-23,Denied,192.168.182.151
244,163,System Login,Reception,2025-05-29,Failed,192.168.29.107
245,16,Server Room Access,Conference Room,2024-10-02,Denied,192.168.62.50
246,379,Server Room Access,Pool,2025-05-19,Denied,192.168.153.138
247,324,System Login,Floor 1,2024-05-23,Failed,192.168.38.23
248,165,System Login,Floor 2,2025-02-28,Success,192.168.23.180
249,365,Room Access,Lobby,2025-09-22,Success,192.168.234.193
250,102,Room Access,Floor 3,2025-11-28,Success,192.168.35.231
251,136,Server Room Access,Floor 3,2024-07-12,Success,192.168.16.86
252,499,System Login,Server Room,2024-09-11,Denied,192.168.210.249
253,378,Server Room Access,Lobby,2024-03-23,Denied,192.168.145.104
254,71,Server Room Access,Pool,2025-09-03,Success,192.168.123.69
255,25,Room Access,Parking,2025-04-04,Denied,192.168.105.62
256,218,Server Room Access,Storage,2024-02-29,Failed,192.168.144.5
257,439,Room Access,Conference Room,2025-06-24,Success,192.168.244.163
258,469,System Login,Floor 2,2026-01-04,Denied,192.168.78.39
259,437,System Login,Floor 1,2026-01-28,Success,192.168.91.62
260,273,System Login,Gym,2026-01-11,Denied,192.168.200.18
261,181,Server Room Access,Server Room,2025-08-11,Denied,192.168.48.21
262,50,Server Room Access,Gym,2025-03-18,Denied,192.168.103.70
263,116,Room Access,Floor 3,2024-04-13,Failed,192.168.66.149
264,36,Room Access,Kitchen,2025-06-05,Failed,192.168.74.192
265,370,Server Room Access,Floor 2,2025-01-07,Success,192.168.45.214
266,143,System Login,Reception,2025-02-13,Success,192.168.146.62
267,139,Server Room Access,Parking,2024-07-29,Success,192.168.201.33
268,22,Room Access,Pool,2024-01-04,Success,192.168.170.108
269,105,Room Access,Parking,2024-01-05,Success,192.168.248.77
270,399,Server Room Access,Floor 1,2025-11-30,Denied,192.168.210.41
271,172,System Login,Floor 2,2024-03-16,Denied,192.168.137.54
272,230,Server Room Access,Reception,2024-03-26,Failed,192.168.101.91
273,167,System Login,Kitchen,2025-08-05,Success,192.168.95.199
274,374,Server Room Access,Reception,2024-06-02,Failed,192.168.70.46
275,111,Room Access,Lobby,2025-04-14,Denied,192.168.44.95
276,103,Server Room Access,Server Room,2025-03-07,Failed,192.168.83.15
277,493,Room Access,Back Gate,2024-01-22,Failed,192.168.182.37
278,119,System Login,Server Room,2024-09-14,Failed,192.168.234.205
279,254,Room Access,Server Room,2024-08-10,Success,192.168.179.95
280,475,Room Access,Back Gate,2024-06-09,Success,192.168.112.243
281,357,Room Access,Conference Room,2024-04-29,Success,192.168.100.24
282,21,Server Room Access,Kitchen,2024-07-01,Failed,192.168.60.44
283,170,Server Room Access,Floor 1,2025-10-19,Failed,192.168.80.221
284,351,System Login,Main Gate,2025-10-08,Failed,192.168.112.52
285,194,Room Access,Conference Room,2025-08-31,Failed,192.168.189.57
286,235,System Login,Floor 3,2025-07-15,Failed,192.168.52.161
287,422,Room Access,Floor 3,2024-09-22,Failed,192.168.185.177
288,360,Server Room Access,Main Gate,2024-04-08,Success,192.168.42.239
289,365,System Login,Reception,2024-06-16,Denied,192.168.220.240
290,3,Server Room Access,Storage,2026-04-28,Success,192.168.162.9
291,139,Server Room Access,Conference Room,2026-04-24,Success,192.168.154.12
292,300,System Login,Floor 2,2024-03-26,Denied,192.168.222.197
293,103,Server Room Access,Parking,2025-08-18,Success,192.168.109.96
294,187,Server Room Access,Server Room,2026-02-19,Success,192.168.60.58
295,151,Room Access,Floor 1,2024-11-22,Denied,192.168.126.178
296,204,System Login,Main Gate,2024-09-26,Denied,192.168.129.161
297,88,System Login,Floor 2,2024-02-15,Failed,192.168.86.218
298,307,Server Room Access,Parking,2024-07-12,Denied,192.168.218.123
299,259,Room Access,Parking,2025-08-18,Failed,192.168.165.49
300,389,Room Access,Conference Room,2025-09-22,Success,192.168.70.229
301,160,Server Room Access,Floor 1,2026-01-17,Denied,192.168.80.110
302,409,Server Room Access,Gym,2025-10-11,Success,192.168.209.208
303,265,System Login,Storage,2024-06-18,Failed,192.168.53.187
304,227,Room Access,Floor 1,2024-04-11,Success,192.168.46.48
305,482,System Login,Reception,2024-04-29,Success,192.168.240.141
306,309,System Login,Floor 1,2025-06-04,Success,192.168.146.113
307,252,Server Room Access,Back Gate,2026-04-17,Success,192.168.10.43
308,324,Server Room Access,Lobby,2026-01-23,Success,192.168.49.116
309,305,System Login,Parking,2025-08-16,Failed,192.168.209.164
310,298,System Login,Storage,2026-01-19,Failed,192.168.77.184
311,410,Server Room Access,Gym,2024-09-28,Failed,192.168.243.33
312,417,Room Access,Storage,2024-05-19,Failed,192.168.49.2
313,160,System Login,Pool,2026-03-23,Failed,192.168.161.197
314,462,Server Room Access,Server Room,2025-04-07,Success,192.168.43.155
315,248,System Login,Kitchen,2025-12-17,Failed,192.168.231.59
316,494,System Login,Floor 2,2025-08-28,Denied,192.168.158.121
317,140,Server Room Access,Storage,2025-01-20,Denied,192.168.222.134
318,2,System Login,Lobby,2025-09-24,Denied,192.168.57.49
319,201,Room Access,Storage,2024-10-10,Denied,192.168.201.130
320,238,System Login,Floor 1,2025-02-08,Failed,192.168.226.144
321,484,Room Access,Reception,2026-03-07,Success,192.168.156.197
322,116,Room Access,Parking,2025-11-18,Success,192.168.116.210
323,499,Room Access,Floor 1,2025-10-22,Failed,192.168.74.134
324,314,System Login,Storage,2025-04-15,Success,192.168.158.252
325,108,Server Room Access,Conference Room,2024-05-01,Failed,192.168.184.11
326,19,System Login,Floor 2,2025-12-11,Success,192.168.5.103
327,265,System Login,Reception,2025-01-16,Denied,192.168.201.116
328,404,Server Room Access,Back Gate,2025-04-25,Success,192.168.143.108
329,284,Server Room Access,Kitchen,2025-12-11,Failed,192.168.237.38
330,99,Server Room Access,Main Gate,2026-01-15,Denied,192.168.226.152
331,41,Server Room Access,Floor 3,2024-06-09,Failed,192.168.33.29
332,64,System Login,Floor 3,2024-12-04,Success,192.168.237.38
333,61,System Login,Floor 1,2025-08-03,Failed,192.168.65.168
334,10,System Login,Kitchen,2025-03-27,Failed,192.168.210.146
335,151,Server Room Access,Storage,2024-05-03,Denied,192.168.33.252
336,286,Room Access,Storage,2025-03-15,Success,192.168.126.28
337,472,Room Access,Main Gate,2025-08-03,Denied,192.168.236.90
338,199,Room Access,Pool,2026-04-11,Success,192.168.47.148
339,437,Server Room Access,Back Gate,2024-03-25,Success,192.168.178.1
340,173,Room Access,Floor 2,2025-11-20,Denied,192.168.140.13
341,199,Server Room Access,Floor 1,2026-03-09,Failed,192.168.205.98
342,495,System Login,Storage,2026-04-12,Failed,192.168.236.222
343,210,Server Room Access,Storage,2026-01-26,Denied,192.168.13.138
344,220,Server Room Access,Floor 2,2025-09-30,Denied,192.168.12.201
345,412,Room Access,Floor 1,2024-06-30,Failed,192.168.249.185
346,40,Server Room Access,Parking,2024-07-18,Denied,192.168.221.144
347,186,Room Access,Reception,2025-09-20,Denied,192.168.212.251
348,259,System Login,Floor 3,2026-01-02,Success,192.168.162.149
349,72,Room Access,Reception,2024-06-04,Failed,192.168.155.59
350,444,Room Access,Floor 1,2025-04-14,Success,192.168.95.213
351,209,Room Access,Back Gate,2025-02-27,Success,192.168.85.25
352,147,Room Access,Main Gate,2025-12-15,Denied,192.168.117.95
353,224,Server Room Access,Server Room,2025-03-01,Failed,192.168.107.47
354,238,Server Room Access,Pool,2025-09-12,Denied,192.168.89.247
355,253,System Login,Main Gate,2025-03-15,Success,192.168.86.212
356,159,Server Room Access,Gym,2025-08-01,Failed,192.168.101.230
357,222,System Login,Conference Room,2025-12-22,Success,192.168.6.226
358,223,Server Room Access,Lobby,2024-12-04,Failed,192.168.26.1
359,176,Room Access,Storage,2024-06-06,Denied,192.168.88.43
360,257,Room Access,Kitchen,2024-08-02,Failed,192.168.135.210
361,237,Server Room Access,Back Gate,2024-11-15,Success,192.168.22.120
362,413,Server Room Access,Parking,2024-02-04,Failed,192.168.90.167
363,326,System Login,Floor 3,2024-01-04,Failed,192.168.12.90
364,470,Room Access,Floor 2,2025-09-11,Failed,192.168.107.13
365,266,Server Room Access,Conference Room,2024-03-08,Success,192.168.18.197
366,193,System Login,Kitchen,2025-10-29,Failed,192.168.247.3
367,149,System Login,Server Room,2025-10-10,Failed,192.168.100.195
368,447,Room Access,Floor 1,2025-05-17,Denied,192.168.53.201
369,220,Server Room Access,Pool,2025-05-22,Success,192.168.151.119
370,248,System Login,Gym,2026-03-04,Failed,192.168.90.186
371,284,System Login,Lobby,2025-10-18,Denied,192.168.197.225
372,397,Room Access,Storage,2024-07-10,Success,192.168.90.11
373,154,Room Access,Back Gate,2024-10-08,Failed,192.168.103.30
374,102,Server Room Access,Kitchen,2024-02-12,Denied,192.168.3.28
375,433,Room Access,Server Room,2025-05-24,Success,192.168.70.148
376,337,System Login,Server Room,2026-03-13,Failed,192.168.7.212
377,273,Room Access,Lobby,2024-05-01,Denied,192.168.85.74
378,86,Server Room Access,Lobby,2024-03-02,Denied,192.168.239.63
379,227,System Login,Gym,2024-01-17,Failed,192.168.156.140
380,440,Room Access,Lobby,2025-06-15,Failed,192.168.202.137
381,421,Room Access,Back Gate,2024-04-29,Success,192.168.252.153
382,451,Server Room Access,Gym,2026-01-25,Failed,192.168.115.33
383,435,System Login,Server Room,2026-01-07,Success,192.168.74.239
384,411,Room Access,Floor 1,2025-05-28,Denied,192.168.48.27
385,191,System Login,Floor 1,2024-01-18,Denied,192.168.216.115
386,496,Room Access,Parking,2025-10-16,Success,192.168.55.26
387,52,Server Room Access,Floor 1,2024-10-15,Success,192.168.87.86
388,154,System Login,Reception,2024-01-28,Failed,192.168.198.209
389,431,System Login,Main Gate,2024-05-07,Success,192.168.215.254
390,98,Room Access,Floor 1,2024-11-15,Failed,192.168.167.186
391,199,Room Access,Conference Room,2024-03-07,Failed,192.168.116.13
392,99,System Login,Storage,2025-06-14,Success,192.168.238.229
393,294,Room Access,Conference Room,2025-08-14,Denied,192.168.64.90
394,219,Server Room Access,Lobby,2024-04-27,Success,192.168.247.2
395,170,Room Access,Reception,2026-04-17,Failed,192.168.36.46
396,9,Room Access,Floor 2,2026-02-26,Denied,192.168.84.50
397,335,Room Access,Floor 1,2024-01-12,Denied,192.168.56.137
398,35,Room Access,Pool,2024-03-07,Success,192.168.87.152
399,302,Server Room Access,Floor 2,2025-05-10,Success,192.168.105.128
400,432,System Login,Server Room,2024-05-28,Denied,192.168.144.198
401,470,System Login,Conference Room,2026-03-04,Failed,192.168.28.204
402,396,Room Access,Gym,2024-10-27,Success,192.168.204.49
403,209,Room Access,Floor 3,2024-09-27,Success,192.168.127.115
404,459,Server Room Access,Main Gate,2024-10-19,Success,192.168.14.81
405,377,Room Access,Floor 2,2025-08-02,Denied,192.168.211.4
406,222,Server Room Access,Main Gate,2024-05-18,Success,192.168.187.80
407,12,Room Access,Pool,2026-04-24,Failed,192.168.187.110
408,64,Server Room Access,Server Room,2024-11-19,Success,192.168.107.65
409,273,System Login,Lobby,2024-01-10,Success,192.168.7.242
410,101,Server Room Access,Pool,2026-01-17,Denied,192.168.109.66
411,268,Room Access,Server Room,2025-08-17,Success,192.168.179.81
412,2,Room Access,Main Gate,2024-07-03,Failed,192.168.160.60
413,450,Server Room Access,Floor 1,2024-02-14,Failed,192.168.226.213
414,492,Room Access,Gym,2024-03-08,Failed,192.168.77.70
415,392,Room Access,Kitchen,2025-06-29,Failed,192.168.226.135
416,355,Room Access,Conference Room,2024-10-16,Success,192.168.161.174
417,21,System Login,Floor 1,2024-03-11,Failed,192.168.113.84
418,95,Server Room Access,Floor 1,2024-09-24,Denied,192.168.115.142
419,239,Server Room Access,Floor 1,2024-02-17,Denied,192.168.252.121
