assignment_id,assigned_date,role_in_incident,incident_id,user_id
273,2025-12-06,Investigator,475,436
274,2025-12-29,Technician,430,218
275,2024-09-14,Reviewer,221,265
276,2024-03-07,Investigator,228,481
277,2025-11-27,Reporter,364,225
278,2025-12-19,Reporter,207,206
279,2025-10-13,Owner,37,50
280,2026-03-10,Reporter,480,399
281,2026-03-26,Investigator,461,352
282,2025-06-25,Technician,297,65
283,2024-12-28,Owner,456,341
284,2024-01-06,Reviewer,211,324
285,2024-01-10,Owner,438,419
286,2024-09-25,Reviewer,206,336
287,2025-11-10,Owner,371,56
288,2025-01-18,Investigator,93,186
289,2024-10-12,Reporter,286,174
290,2025-09-09,Technician,493,125
291,2024-02-10,Technician,31,340
292,2025-10-01,Investigator,89,22
293,2025-09-10,Technician,393,189
294,2026-04-15,Investigator,33,18
295,2025-09-06,Owner,115,92
296,2024-01-30,Owner,426,370
297,2025-03-09,Owner,456,139
298,2025-08-17,Owner,140,443
299,2024-03-19,Owner,370,186
300,2025-06-11,Reporter,496,270
301,2024-03-24,Investigator,26,91
302,2024-10-18,Reporter,64,17
303,2025-08-19,Owner,104,124
304,2024-08-01,Reporter,129,492
305,2024-11-30,Owner,22,198
306,2024-07-30,Reviewer,485,161
307,2024-12-28,Investigator,259,176
308,2024-07-13,Investigator,95,12
309,2025-08-06,Reporter,414,364
310,2026-04-17,Investigator,301,315
311,2024-04-26,Reporter,232,438
312,2024-11-06,Owner,480,108
313,2024-04-13,Reviewer,253,139
314,2025-04-06,Reporter,119,441
315,2024-05-02,Investigator,183,44
316,2025-12-14,Investigator,53,193
317,2024-08-04,Technician,13,159
318,2024-07-08,Reporter,440,246
319,2025-04-25,Technician,208,304
320,2024-06-13,Reporter,320,175
321,2025-09-02,Technician,324,185
322,2024-04-01,Reviewer,485,404
323,2025-05-09,Investigator,291,178
324,2025-07-23,Technician,452,111
325,2024-02-11,Reporter,304,414
326,2025-02-13,Reporter,199,188
327,2025-02-07,Reviewer,203,133
328,2024-07-10,Technician,488,99
329,2025-05-18,Reviewer,466,349
330,2025-06-12,Investigator,396,88
331,2025-11-22,Reporter,198,11
332,2024-09-04,Owner,164,13
333,2026-04-11,Technician,466,409
334,2024-12-17,Reporter,158,317
335,2024-10-24,Investigator,204,484
336,2024-07-17,Reviewer,3,282
337,2025-12-15,Technician,463,21
338,2024-03-28,Owner,146,311
339,2024-08-17,Reporter,452,493
340,2026-04-02,Technician,247,232
341,2024-08-29,Owner,70,4
342,2026-01-11,Reporter,318,403
343,2025-01-09,Technician,29,31
344,2024-06-29,Owner,385,11
345,2024-03-03,Reporter,200,355
346,2024-12-27,Investigator,238,349
347,2025-03-31,Investigator,220,140
348,2025-01-05,Reporter,176,340
349,2024-04-01,Investigator,409,213
350,2024-10-03,Investigator,322,444
351,2024-06-15,Investigator,189,308
352,2026-04-29,Reviewer,18,447
353,2025-09-13,Reporter,112,407
354,2024-06-22,Technician,376,323
355,2026-04-10,Reporter,156,351
356,2025-11-16,Technician,295,488
357,2025-03-08,Technician,294,449
358,2024-10-24,Investigator,117,228
359,2025-07-26,Reporter,297,318
360,2025-11-16,Reviewer,22,403
361,2024-08-18,Owner,312,218
362,2025-08-12,Owner,152,209
363,2024-03-06,Investigator,424,247
364,2024-01-20,Technician,490,354
365,2025-03-06,Owner,441,383
366,2026-02-11,Reviewer,244,67
367,2024-06-06,Reviewer,393,152
368,2025-12-03,Reviewer,264,255
369,2024-06-18,Investigator,381,232
370,2024-03-01,Reporter,331,18
371,2025-02-04,Reporter,300,263
372,2024-03-03,Owner,354,83
373,2024-02-29,Technician,350,284
374,2024-11-06,Technician,269,498
375,2025-03-05,Reviewer,31,485
376,2024-06-18,Reporter,194,352
377,2025-04-15,Owner,206,380
378,2025-04-18,Reviewer,23,209
379,2025-06-25,Technician,187,274
380,2024-06-14,Reviewer,47,495
381,2025-06-02,Reviewer,467,418
382,2025-02-24,Reviewer,353,158
383,2025-08-15,Reporter,228,64
384,2026-03-10,Reporter,106,125
385,2025-12-11,Technician,184,43
386,2026-02-11,Technician,51,371
387,2025-01-26,Investigator,399,166
388,2024-10-02,Owner,349,23
389,2025-03-08,Investigator,382,177
390,2024-02-05,Technician,101,417
391,2025-11-30,Reporter,432,409
392,2024-05-29,Investigator,61,391
393,2024-06-04,Investigator,416,351
394,2024-11-09,Reporter,187,177
395,2025-03-04,Investigator,428,338
396,2024-01-11,Owner,322,326
397,2024-01-16,Owner,267,205
398,2025-02-06,Investigator,181,135
399,2024-12-14,Owner,275,159
400,2024-02-10,Reviewer,467,368
401,2024-02-02,Technician,416,108
402,2024-11-12,Owner,23,21
403,2025-05-29,Reporter,358,38
404,2026-01-18,Reporter,357,36
405,2025-06-15,Investigator,465,450
406,2024-07-23,Reviewer,95,382
407,2025-08-21,Investigator,372,148
408,2024-07-16,Owner,496,281
409,2025-09-21,Reporter,390,142
410,2024-03-10,Reviewer,99,450
411,2025-08-28,Investigator,490,225
412,2024-06-29,Owner,323,94
413,2024-06-07,Owner,124,159
414,2024-04-15,Technician,172,396
415,2024-01-10,Reviewer,349,414
416,2025-02-17,Technician,168,217
417,2025-12-30,Reporter,385,137
418,2025-09-15,Reporter,402,64
419,2024-02-15,Owner,9,482
420,2024-12-19,Technician,55,136
421,2025-05-04,Reviewer,264,167
422,2024-11-30,Reviewer,449,30
423,2024-08-11,Technician,268,42
424,2024-12-03,Owner,96,343
425,2025-07-07,Reviewer,69,203
426,2026-04-03,Investigator,212,464
427,2024-11-28,Reviewer,105,219
428,2025-06-21,Reporter,394,163
429,2026-01-06,Reviewer,480,433
430,2024-02-19,Reviewer,420,116
431,2026-03-08,Investigator,396,73
432,2025-08-24,Investigator,64,451
433,2024-04-13,Technician,420,5
434,2026-04-30,Owner,150,342
435,2026-03-24,Reviewer,50,130
436,2024-05-08,Investigator,214,91
437,2024-02-22,Investigator,11,485
438,2024-05-07,Owner,27,316
439,2025-12-31,Owner,181,262
440,2025-03-14,Reporter,248,381
441,2025-04-07,Reporter,230,115
442,2026-01-30,Investigator,312,145
443,2024-02-29,Reporter,388,215
444,2024-11-10,Owner,154,203
445,2024-12-12,Owner,80,274
446,2025-01-14,Owner,417,449
447,2026-02-22,Investigator,161,435
448,2024-07-06,Technician,259,377
449,2026-01-31,Reporter,476,39
450,2024-08-23,Owner,38,214
451,2025-07-14,Technician,183,224
452,2024-03-31,Owner,125,139
453,2026-03-24,Technician,227,151
454,2025-05-02,Reviewer,71,228
455,2026-01-14,Investigator,108,465
456,2026-04-02,Owner,372,320
457,2025-03-12,Reporter,123,265
458,2025-07-13,Owner,192,28
459,2024-01-21,Owner,68,482
460,2025-10-06,Reviewer,389,458
461,2024-01-22,Investigator,161,84
462,2024-08-01,Reporter,290,54
463,2024-06-11,Technician,213,22
464,2025-10-01,Owner,226,384
465,2025-11-18,Investigator,327,275
466,2025-01-29,Owner,261,435
467,2024-12-27,Technician,127,200
468,2025-03-04,Investigator,229,483
469,2024-08-23,Technician,52,364
470,2025-08-03,Technician,211,473
471,2026-01-10,Owner,24,188
472,2025-03-02,Reporter,84,283
473,2024-05-29,Investigator,140,408
474,2025-03-12,Owner,40,397
475,2025-08-16,Investigator,63,388
476,2024-02-04,Technician,339,466
477,2025-12-13,Technician,453,38
478,2025-10-18,Reviewer,177,108
479,2024-02-18,Reporter,452,215
480,2025-12-03,Technician,390,361
481,2024-03-15,Investigator,200,167
482,2025-05-10,Reviewer,496,14
483,2025-01-31,Owner,59,356
484,2024-12-12,Reviewer,311,416
485,2024-12-12,Technician,58,127
486,2025-12-06,Technician,1,243
487,2024-08-26,Reviewer,386,324
488,2024-07-07,Reviewer,218,27
489,2025-02-05,Reviewer,423,244
490,2025-04-21,Technician,280,354
491,2024-05-14,Owner,381,332
492,2025-10-02,Reporter,77,410
493,2025-02-12,Investigator,132,229
494,2024-11-16,Reviewer,215,242
495,2024-12-12,Owner,419,30
496,2024-06-14,Technician,456,286
497,2024-11-03,Reporter,40,230
498,2024-04-09,Investigator,416,494
499,2026-01-08,Owner,342,109
500,2025-03-11,Reporter,39,130
