location_id,location_name
312,Emergency Exit South - Section 9
313,Staff Entrance - Section 9
314,Elevator Lobby - Floor 9
315,Service Elevator - Floor 9
316,Guest Corridor - Floor 9
317,Rooftop Access - Section 9
318,Kids Club - Section 9
319,Garden Entrance - Section 9
320,Beach Gate - Section 9
321,Lobby - Section 10
322,Reception - Section 10
323,Main Gate - Section 10
324,Back Gate - Section 10
325,Parking Level A - Zone 10
326,Parking Level B - Zone 10
327,Underground Parking - Zone 10
328,Server Room - Section 10
329,Security Control Room - Section 10
330,CCTV Room - Section 10
331,Kitchen Entrance - Section 10
332,Main Kitchen - Section 10
333,Loading Dock - Section 10
334,Laundry Room - Section 10
335,Storage Room - Section 10
336,Maintenance Workshop - Section 10
337,Conference Hall - Section 10
338,Ballroom Entrance - Section 10
339,Business Lounge - Section 10
340,VIP Lounge - Section 10
341,Pool Deck - Section 10
342,Gym Entrance - Section 10
343,Spa Reception - Section 10
344,Restaurant Entrance - Section 10
345,Bar Entrance - Section 10
346,Emergency Exit North - Section 10
347,Emergency Exit South - Section 10
348,Staff Entrance - Section 10
349,Elevator Lobby - Floor 10
350,Service Elevator - Floor 10
351,Guest Corridor - Floor 10
352,Rooftop Access - Section 10
353,Kids Club - Section 10
354,Garden Entrance - Section 10
355,Beach Gate - Section 10
356,Lobby - Section 11
357,Reception - Section 11
358,Main Gate - Section 11
359,Back Gate - Section 11
360,Parking Level A - Zone 11
361,Parking Level B - Zone 11
362,Underground Parking - Zone 11
363,Server Room - Section 11
364,Security Control Room - Section 11
365,CCTV Room - Section 11
366,Kitchen Entrance - Section 11
367,Main Kitchen - Section 11
368,Loading Dock - Section 11
369,Laundry Room - Section 11
370,Storage Room - Section 11
371,Maintenance Workshop - Section 11
372,Conference Hall - Section 11
373,Ballroom Entrance - Section 11
374,Business Lounge - Section 11
375,VIP Lounge - Section 11
376,Pool Deck - Section 11
377,Gym Entrance - Section 11
378,Spa Reception - Section 11
379,Restaurant Entrance - Section 11
380,Bar Entrance - Section 11
381,Emergency Exit North - Section 11
382,Emergency Exit South - Section 11
383,Staff Entrance - Section 11
384,Elevator Lobby - Floor 11
385,Service Elevator - Floor 11
386,Guest Corridor - Floor 11
387,Rooftop Access - Section 11
388,Kids Club - Section 11
389,Garden Entrance - Section 11
390,Beach Gate - Section 11
391,Lobby - Section 12
392,Reception - Section 12
393,Main Gate - Section 12
394,Back Gate - Section 12
395,Parking Level A - Zone 12
396,Parking Level B - Zone 12
397,Underground Parking - Zone 12
398,Server Room - Section 12
399,Security Control Room - Section 12
400,CCTV Room - Section 12
401,Kitchen Entrance - Section 12
402,Main Kitchen - Section 12
403,Loading Dock - Section 12
404,Laundry Room - Section 12
405,Storage Room - Section 12
406,Maintenance Workshop - Section 12
407,Conference Hall - Section 12
408,Ballroom Entrance - Section 12
409,Business Lounge - Section 12
410,VIP Lounge - Section 12
411,Pool Deck - Section 12
412,Gym Entrance - Section 12
413,Spa Reception - Section 12
414,Restaurant Entrance - Section 12
415,Bar Entrance - Section 12
416,Emergency Exit North - Section 12
417,Emergency Exit South - Section 12
418,Staff Entrance - Section 12
419,Elevator Lobby - Floor 12
420,Service Elevator - Floor 12
421,Guest Corridor - Floor 12
422,Rooftop Access - Section 12
423,Kids Club - Section 12
424,Garden Entrance - Section 12
425,Beach Gate - Section 12
426,Lobby - Section 13
427,Reception - Section 13
428,Main Gate - Section 13
429,Back Gate - Section 13
430,Parking Level A - Zone 13
431,Parking Level B - Zone 13
432,Underground Parking - Zone 13
433,Server Room - Section 13
434,Security Control Room - Section 13
435,CCTV Room - Section 13
436,Kitchen Entrance - Section 13
437,Main Kitchen - Section 13
438,Loading Dock - Section 13
439,Laundry Room - Section 13
440,Storage Room - Section 13
441,Maintenance Workshop - Section 13
442,Conference Hall - Section 13
443,Ballroom Entrance - Section 13
444,Business Lounge - Section 13
445,VIP Lounge - Section 13
446,Pool Deck - Section 13
447,Gym Entrance - Section 13
448,Spa Reception - Section 13
449,Restaurant Entrance - Section 13
450,Bar Entrance - Section 13
451,Emergency Exit North - Section 13
452,Emergency Exit South - Section 13
453,Staff Entrance - Section 13
454,Elevator Lobby - Floor 13
455,Service Elevator - Floor 13
456,Guest Corridor - Floor 13
457,Rooftop Access - Section 13
458,Kids Club - Section 13
459,Garden Entrance - Section 13
460,Beach Gate - Section 13
461,Lobby - Section 14
462,Reception - Section 14
463,Main Gate - Section 14
464,Back Gate - Section 14
465,Parking Level A - Zone 14
466,Parking Level B - Zone 14
467,Underground Parking - Zone 14
468,Server Room - Section 14
469,Security Control Room - Section 14
470,CCTV Room - Section 14
471,Kitchen Entrance - Section 14
472,Main Kitchen - Section 14
473,Loading Dock - Section 14
474,Laundry Room - Section 14
475,Storage Room - Section 14
476,Maintenance Workshop - Section 14
477,Conference Hall - Section 14
478,Ballroom Entrance - Section 14
479,Business Lounge - Section 14
480,VIP Lounge - Section 14
481,Pool Deck - Section 14
482,Gym Entrance - Section 14
483,Spa Reception - Section 14
484,Restaurant Entrance - Section 14
485,Bar Entrance - Section 14
486,Emergency Exit North - Section 14
487,Emergency Exit South - Section 14
488,Staff Entrance - Section 14
489,Elevator Lobby - Floor 14
490,Service Elevator - Floor 14
491,Guest Corridor - Floor 14
492,Rooftop Access - Section 14
493,Kids Club - Section 14
494,Garden Entrance - Section 14
495,Beach Gate - Section 14
496,Lobby - Section 15
497,Reception - Section 15
498,Main Gate - Section 15
499,Back Gate - Section 15
500,Parking Level A - Zone 15
